SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
QBTS,20250717 04:01:01.000000,0,16.98,16.98,10468,10468,10468,10468,10468,0.15,0.88,0.15,0.88,0.15,0.88,0.15,0.88,0.15,0.88,0.15,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.95,16.95,17.1,17.1,16.95,17.1
QBTS,20250717 04:02:05.000000,0,16.97,16.97,5975,16443,16443,16443,16443,0.16,0.94,0.16,0.94,0.16,0.94,0.16,0.94,0.16,0.94,0.16,0.94,-0.01,-0.05,-0.01,-0.05,-0.01,-0.05,-0.01,-0.05,-0.01,-0.05,-0.01,-0.05,-0.01,-0.05,16.94,16.94,16.98,17.1,16.94,17.1
QBTS,20250717 04:03:02.000000,0,16.97,16.97,2314,18757,18757,18757,18757,0.03,0.23,0.16,0.94,0.16,0.94,0.16,0.94,0.16,0.94,0.16,0.94,0,0,-0.01,-0.05,-0.01,-0.05,-0.01,-0.05,-0.01,-0.05,-0.01,-0.05,-0.01,-0.05,16.95,16.94,16.98,16.98,16.94,17.1
QBTS,20250717 04:04:02.000000,0,16.96,16.97,6302,25059,25059,25059,25059,0.07,0.41,0.19,1.12,0.19,1.12,0.19,1.12,0.19,1.12,0.19,1.12,-0.04,-0.29,-0.05,-0.35,-0.05,-0.35,-0.05,-0.35,-0.05,-0.35,-0.05,-0.35,-0.05,-0.35,16.91,16.91,16.97,16.98,16.91,17.1
QBTS,20250717 04:05:04.000000,0,16.96,16.97,16816,41875,41875,41875,41875,0.07,0.41,0.19,1.11,0.19,1.11,0.19,1.11,0.19,1.11,0.19,1.11,0.04,0.29,-0.01,-0.05,-0.01,-0.05,-0.01,-0.05,-0.01,-0.05,-0.01,-0.05,-0.01,-0.05,16.91,16.91,16.98,16.98,16.91,17.1
QBTS,20250717 04:06:01.000000,0,16.96,16.97,89,31496,41964,41964,41964,0.07,0.41,0.07,0.41,0.19,1.12,0.19,1.12,0.19,1.12,0.19,1.12,0,-0.05,0,-0.05,-0.01,-0.11,-0.01,-0.11,-0.01,-0.11,-0.01,-0.11,-0.01,-0.11,16.96,16.91,16.98,16.98,16.91,16.98
QBTS,20250717 04:07:06.000000,0,16.96,16.97,3974,29495,45938,45938,45938,0.01,0.11,0.07,0.41,0.19,1.11,0.19,1.11,0.19,1.11,0.19,1.11,0.01,0.11,0.01,0.05,0,0,0,0,0,0,0,0,0,0,16.97,16.96,16.98,16.98,16.91,16.98
QBTS,20250717 04:08:03.000000,0,16.96,16.97,2928,30109,48866,48866,48866,0.03,0.17,0.07,0.41,0.19,1.12,0.19,1.12,0.19,1.12,0.19,1.12,-0.01,-0.11,0.03,0.23,-0.01,-0.11,-0.01,-0.11,-0.01,-0.11,-0.01,-0.11,-0.01,-0.11,16.95,16.95,16.98,16.98,16.91,16.98
QBTS,20250717 04:09:02.000000,0,16.96,16.97,6127,29934,54993,54993,54993,0.05,0.29,0.08,0.53,0.19,1.11,0.19,1.11,0.19,1.11,0.19,1.11,0.01,0.11,0.01,0.05,0,0,0,0,0,0,0,0,0,0,16.95,16.95,17,17,16.91,17
QBTS,20250717 04:10:12.000000,0,16.96,16.97,1260,14378,56253,56253,56253,0.05,0.29,0.05,0.29,0.19,1.11,0.19,1.11,0.19,1.11,0.19,1.11,-0.01,-0.05,0,0.05,-0.01,-0.05,-0.01,-0.05,-0.01,-0.05,-0.01,-0.05,-0.01,-0.05,16.95,16.95,16.98,17,16.95,17
QBTS,20250717 04:11:11.000000,0,16.96,16.96,4162,18451,49947,60415,60415,0.05,0.29,0.07,0.41,0.19,1.12,0.19,1.12,0.19,1.12,0.19,1.12,-0.02,-0.17,-0.03,-0.23,-0.02,-0.17,-0.03,-0.23,-0.03,-0.23,-0.03,-0.23,-0.03,-0.23,16.93,16.93,16.96,16.98,16.93,17
