SymbolId,CurrentTime,Index,DayPatternId,DayPatternValue
RGTI,20250717 00:00:00.000000,0,YGD,True
RGTI,20250717 00:00:00.000000,0,YGD2,False
RGTI,20250717 00:00:00.000000,0,YRD,False
RGTI,20250717 00:00:00.000000,0,YRD2,False
RGTI,20250717 00:00:00.000000,0,SSR2,False
RGTI,20250717 00:00:00.000000,0,NR4,False
RGTI,20250717 00:00:00.000000,0,NR5,False
RGTI,20250717 00:00:00.000000,0,NR6,False
RGTI,20250717 00:00:00.000000,0,NR7,False
RGTI,20250717 00:00:00.000000,0,SGUS_ND,False
RGTI,20250717 00:00:00.000000,0,SGUS,False
RGTI,20250717 00:00:00.000000,0,NGUS,False
RGTI,20250717 00:00:00.000000,0,SSR1,False
RGTI,20250717 00:00:00.000000,0,GUS_21D_NR61,False
RGTI,20250717 00:00:00.000000,0,YGD_AH,False
RGTI,20250717 00:00:00.000000,0,RRG,False
RGTI,20250717 00:00:00.000000,0,RRGG,False
RGTI,20250717 00:00:00.000000,0,GpUp_PD123,True
RGTI,20250717 00:00:00.000000,0,GpUp_PD123_B_H,True
