SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
RGTI,20250717 04:01:01.000000,0,16.71,16.71,16662,16662,16662,16662,16662,0.41,2.45,0.41,2.45,0.41,2.45,0.41,2.45,0.41,2.45,0.41,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.39,16.39,16.8,16.8,16.39,16.8
RGTI,20250717 04:02:01.000000,0,16.68,16.69,36523,53185,53185,53185,53185,0.41,2.46,0.41,2.46,0.41,2.46,0.41,2.46,0.41,2.46,0.41,2.46,-0.1,-0.66,-0.1,-0.66,-0.1,-0.66,-0.1,-0.66,-0.1,-0.66,-0.1,-0.66,-0.1,-0.66,16.57,16.39,16.73,16.8,16.39,16.8
RGTI,20250717 04:03:01.000000,0,16.67,16.69,33459,86644,86644,86644,86644,0.16,0.96,0.41,2.46,0.41,2.46,0.41,2.46,0.41,2.46,0.41,2.46,0,0,-0.1,-0.66,-0.1,-0.66,-0.1,-0.66,-0.1,-0.66,-0.1,-0.66,-0.1,-0.66,16.57,16.57,16.67,16.73,16.39,16.8
RGTI,20250717 04:04:01.000000,0,16.64,16.67,37323,123967,123967,123967,123967,0.16,0.96,0.41,2.48,0.41,2.48,0.41,2.48,0.41,2.48,0.41,2.48,-0.08,-0.48,-0.19,-1.15,-0.19,-1.15,-0.19,-1.15,-0.19,-1.15,-0.19,-1.15,-0.19,-1.15,16.51,16.51,16.61,16.67,16.39,16.8
RGTI,20250717 04:05:01.000000,0,16.62,16.66,11814,135781,135781,135781,135781,0.09,0.6,0.41,2.47,0.41,2.47,0.41,2.47,0.41,2.47,0.41,2.47,0.01,0.12,-0.17,-1.02,-0.17,-1.02,-0.17,-1.02,-0.17,-1.02,-0.17,-1.02,-0.17,-1.02,16.51,16.51,16.55,16.61,16.39,16.8
RGTI,20250717 04:06:01.000000,0,16.6,16.65,6127,125246,141908,141908,141908,0.05,0.36,0.21,1.32,0.41,2.47,0.41,2.47,0.41,2.47,0.41,2.47,0.01,0.06,-0.05,-0.3,-0.16,-0.96,-0.16,-0.96,-0.16,-0.96,-0.16,-0.96,-0.16,-0.96,16.52,16.51,16.57,16.57,16.51,16.73
RGTI,20250717 04:07:02.000000,0,16.58,16.63,26500,115223,168408,168408,168408,0.08,0.54,0.19,1.15,0.41,2.48,0.41,2.48,0.41,2.48,0.41,2.48,-0.07,-0.42,-0.12,-0.72,-0.23,-1.39,-0.23,-1.39,-0.23,-1.39,-0.23,-1.39,-0.23,-1.39,16.48,16.48,16.55,16.57,16.48,16.67
RGTI,20250717 04:08:01.000000,0,16.54,16.61,14890,96654,183298,183298,183298,0.16,0.97,0.21,1.34,0.41,2.5,0.41,2.5,0.41,2.5,0.41,2.5,-0.08,-0.54,-0.12,-0.79,-0.32,-1.95,-0.32,-1.95,-0.32,-1.95,-0.32,-1.95,-0.32,-1.95,16.39,16.39,16.48,16.55,16.39,16.61
RGTI,20250717 04:09:03.000000,0,16.52,16.59,23679,83010,206977,206977,206977,0.08,0.54,0.17,1.09,0.41,2.49,0.41,2.49,0.41,2.49,0.41,2.49,0.05,0.3,-0.09,-0.6,-0.26,-1.64,-0.26,-1.64,-0.26,-1.64,-0.26,-1.64,-0.26,-1.64,16.39,16.39,16.46,16.48,16.39,16.57
RGTI,20250717 04:10:01.000000,0,16.49,16.57,4874,76070,211851,211851,211851,0.07,0.42,0.17,1.09,0.41,2.49,0.41,2.49,0.41,2.49,0.41,2.49,-0.03,-0.18,-0.14,-0.85,-0.3,-1.82,-0.3,-1.82,-0.3,-1.82,-0.3,-1.82,-0.3,-1.82,16.41,16.39,16.44,16.46,16.39,16.57
RGTI,20250717 04:11:01.000000,0,16.47,16.55,9729,79672,204918,221580,221580,0.06,0.36,0.17,1.03,0.42,2.56,0.42,2.56,0.42,2.56,0.42,2.56,-0.01,-0.12,-0.08,-0.54,-0.21,-1.28,-0.32,-1.95,-0.32,-1.95,-0.32,-1.95,-0.32,-1.95,16.38,16.38,16.41,16.44,16.38,16.55
RGTI,20250717 04:12:01.000000,0,16.47,16.54,2707,55879,171102,224287,224287,0.08,0.48,0.1,0.6,0.42,2.55,0.42,2.55,0.42,2.55,0.42,2.55,0.07,0.42,0.07,0.42,-0.14,-0.85,-0.25,-1.51,-0.25,-1.51,-0.25,-1.51,-0.25,-1.51,16.39,16.38,16.46,16.46,16.38,16.48
RGTI,20250717 04:13:02.000000,0,16.46,16.53,5453,46442,143096,229740,229740,0.07,0.42,0.08,0.48,0.42,2.55,0.42,2.55,0.42,2.55,0.42,2.55,-0.03,-0.18,-0.01,-0.06,-0.08,-0.54,-0.28,-1.7,-0.28,-1.7,-0.28,-1.7,-0.28,-1.7,16.42,16.39,16.46,16.46,16.38,16.46
