SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
RGTI, 20250717 04:00:00.000000,14,1,16.39,16.8,16.39,16.61,9403,16.5
RGTI, 20250717 04:00:01.000000,29,1,16.66,16.77,16.57,16.73,291,16.6
RGTI, 20250717 04:00:02.000000,35,1,16.73,16.73,16.73,16.73,50,16.73
RGTI, 20250717 04:00:03.000000,41,1,16.6,16.6,16.6,16.6,1,16.6
RGTI, 20250717 04:00:04.000000,63,1,16.73,16.75,16.66,16.66,1001,16.73
RGTI, 20250717 04:00:06.000000,77,1,16.66,16.66,16.64,16.64,333,16.64
RGTI, 20250717 04:00:07.000000,105,1,16.64,16.64,16.64,16.64,50,16.64
RGTI, 20250717 04:00:10.000000,116,1,16.72,16.73,16.72,16.73,110,16.72
RGTI, 20250717 04:00:13.000000,124,1,16.72,16.72,16.6,16.72,701,16.64
RGTI, 20250717 04:00:14.000000,130,1,16.6,16.72,16.6,16.72,30,16.68
RGTI, 20250717 04:00:15.000000,143,1,16.73,16.73,16.73,16.73,44,16.73
RGTI, 20250717 04:00:17.000000,146,1,16.64,16.64,16.64,16.64,149,16.64
RGTI, 20250717 04:00:18.000000,165,1,16.64,16.64,16.64,16.64,100,16.64
RGTI, 20250717 04:00:20.000000,174,1,16.64,16.64,16.64,16.64,1,16.64
RGTI, 20250717 04:00:21.000000,192,1,16.64,16.73,16.64,16.73,454,16.69
RGTI, 20250717 04:00:24.000000,204,1,16.64,16.64,16.64,16.64,100,16.64
RGTI, 20250717 04:00:25.000000,210,1,16.64,16.64,16.64,16.64,50,16.64
RGTI, 20250717 04:00:26.000000,213,1,16.73,16.73,16.73,16.73,7,16.73
RGTI, 20250717 04:00:27.000000,232,1,16.73,16.73,16.68,16.68,207,16.7
RGTI, 20250717 04:00:29.000000,246,1,16.67,16.67,16.67,16.67,15,16.67
RGTI, 20250717 04:00:31.000000,252,1,16.67,16.67,16.67,16.67,3,16.67
RGTI, 20250717 04:00:32.000000,257,1,16.73,16.73,16.73,16.73,100,16.73
RGTI, 20250717 04:00:33.000000,271,1,16.73,16.73,16.68,16.68,101,16.73
RGTI, 20250717 04:00:34.000000,282,1,16.68,16.68,16.68,16.68,90,16.68
RGTI, 20250717 04:00:36.000000,290,1,16.69,16.69,16.69,16.69,15,16.69
