SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
RIG,20250717 04:01:06.000000,0,2.57,2.57,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,2.57,2.57,2.57,2.57,2.57
RIG,20250717 04:15:26.000000,0,2.57,2.57,31,41,41,41,41,0.06,2.68,0.06,2.68,0.06,2.68,0.06,2.68,0.06,2.68,0.06,2.68,0.04,1.53,0.04,1.53,0.04,1.53,0.04,1.53,0.04,1.53,0.04,1.53,0.04,1.53,2.54,2.54,2.61,2.61,2.54,2.61
RIG,20250717 04:19:31.000000,0,2.58,2.57,400,400,400,431,441,0,0,0,0,0.06,2.68,0.06,2.68,0.06,2.68,0.06,2.68,0,0,0,0,0,0,0,0,0.04,1.53,0.04,1.53,0.04,1.53,2.61,2.61,2.61,2.61,2.61,2.61
RIG,20250717 04:27:13.000000,0,2.58,2.57,32,432,432,432,473,0,0,0.04,1.55,0.04,1.55,0.06,2.72,0.06,2.72,0.06,2.72,0,0,-0.04,-1.55,-0.04,-1.55,-0.04,-1.55,0,0,0,0,0,0,2.57,2.57,2.57,2.57,2.57,2.61
RIG,20250717 05:05:49.000000,0,2.57,2.57,978,978,1010,1410,1451,0,0,0,0,0.04,1.55,0.06,2.72,0.06,2.72,0.06,2.72,0,0,0,0,0,0,-0.04,-1.55,0,0,0,0,0,0,2.57,2.57,2.57,2.57,2.57,2.57
RIG,20250717 06:48:09.000000,0,2.58,2.57,50,50,50,50,50,0,0,0,0,0,0,0,0,0.04,1.54,0.06,2.7,0,0,0,0,0,0,0,0,0,0,-0.02,-0.77,0.02,0.77,2.59,2.59,2.59,2.59,2.59,2.59
RIG,20250717 07:00:25.000000,0,2.57,2.57,1050,1050,1050,1050,1050,0.01,0.38,0.01,0.38,0.01,0.38,0.01,0.38,0.01,0.38,0.02,0.77,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,-0.77,2.57,2.57,2.58,2.58,2.57,2.58
RIG,20250717 07:03:46.000000,0,2.57,2.57,40,40,40,1090,1090,0,0,0,0,0.01,0.38,0.01,0.38,0.01,0.38,0.02,0.77,0,0,0,0,0,0,0.01,0.38,0.01,0.38,0.01,0.38,0,-0.38,2.58,2.58,2.58,2.58,2.58,2.58
RIG,20250717 07:05:10.000000,0,2.57,2.57,60,100,100,100,1150,0,0,0.01,0.38,0.01,0.38,0.01,0.38,0.01,0.38,0.02,0.77,0,0,-0.01,-0.38,-0.01,-0.38,-0.01,-0.38,0,0,0,0,-0.02,-0.77,2.57,2.57,2.57,2.57,2.57,2.58
RIG,20250717 07:36:37.000000,0,2.56,2.57,14612,14672,14712,14712,15762,0.02,1.18,0.02,1.18,0.04,1.57,0.04,1.57,0.04,1.57,0.04,1.57,0,0,-0.02,-1.18,-0.04,-1.57,-0.04,-1.57,-0.02,-1.18,-0.02,-1.18,-0.02,-1.18,2.54,2.54,2.57,2.57,2.54,2.57
RIG,20250717 08:00:01.000000,0,2.56,2.56,3,3,3,3,3,0,0,0,0,0,0,0,0,0.04,1.57,0.04,1.57,0,0,0,0,0,0,0,0,0,0,-0.02,-1.18,-0.02,-1.18,2.54,2.54,2.54,2.54,2.54,2.54
RIG,20250717 08:01:09.000000,0,2.55,2.56,25211,25211,25211,25211,25214,0.04,1.96,0.04,1.96,0.04,1.96,0.04,1.96,0.04,1.96,0.04,1.96,0,0,0,0,0,0,0,0,0,0,-0.02,-1.18,-0.02,-1.18,2.54,2.54,2.59,2.59,2.54,2.59
RIG,20250717 08:02:47.000000,0,2.55,2.56,2,25213,25213,25213,25216,0.04,1.96,0.04,1.96,0.04,1.96,0.04,1.96,0.04,1.96,0.04,1.96,0,0,0,0,0,0,0,0,0,0,-0.02,-1.18,-0.02,-1.18,2.54,2.54,2.54,2.59,2.54,2.59
RIG,20250717 08:03:46.000000,0,2.55,2.56,1,25214,25214,25214,25217,0,0,0.04,1.96,0.04,1.96,0.04,1.96,0.04,1.96,0.04,1.96,0,0,0,0,0,0,0,0,0,0,-0.02,-1.18,-0.02,-1.18,2.54,2.54,2.54,2.54,2.54,2.59
RIG,20250717 08:07:18.000000,0,2.54,2.55,2000,27214,27214,27214,27217,0,0,0.04,1.96,0.04,1.96,0.04,1.96,0.04,1.96,0.04,1.96,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,-1.18,2.54,2.54,2.54,2.54,2.54,2.59
RIG,20250717 08:09:01.000000,0,2.54,2.55,9308,11308,36522,36522,36522,0,0,0,0,0.04,1.96,0.04,1.96,0.04,1.96,0.04,1.96,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,-1.18,2.54,2.54,2.54,2.54,2.54,2.54
RIG,20250717 08:10:38.000000,0,2.54,2.55,201,9509,36723,36723,36723,0,0,0,0,0.04,1.96,0.04,1.96,0.04,1.96,0.04,1.96,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,-1.18,2.54,2.54,2.54,2.54,2.54,2.54
RIG,20250717 08:11:05.000000,0,2.54,2.55,100,9609,11612,36823,36823,0,0,0,0,0.04,1.96,0.04,1.96,0.04,1.96,0.04,1.96,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,-1.18,2.54,2.54,2.54,2.54,2.54,2.54
RIG,20250717 08:12:05.000000,0,2.54,2.55,8041,17650,19651,44864,44864,0,0,0,0,0.04,1.96,0.04,1.96,0.04,1.96,0.04,1.96,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,-1.18,2.54,2.54,2.54,2.54,2.54,2.54
