SymbolId,TradeTime,Index,Size,TotalVolume,Price,ReportingExchange,TradeCondition
RIG,20250717 04:00:01.917000,1264,10,10,2.57,EDGX,12545
RIG,20250717 04:01:05.218000,3690,1,11,2.54,PACF,12545
RIG,20250717 04:01:14.288000,4025,30,41,2.61,EDGX,12545
RIG,20250717 04:15:25.020000,28486,4,50,2.61,NQEX,12545
RIG,20250717 04:15:25.020000,28485,1,46,2.61,NQEX,12545
RIG,20250717 04:15:25.020000,28484,4,45,2.61,NQEX,12545
RIG,20250717 04:15:25.020000,28489,389,441,2.61,NQEX,12545
RIG,20250717 04:15:25.020000,28488,1,52,2.61,NQEX,12545
RIG,20250717 04:15:25.020000,28487,1,51,2.61,NQEX,12545
RIG,20250717 04:19:30.803000,33328,32,473,2.57,NQEX,12545
RIG,20250717 04:27:12.526000,40670,978,1451,2.57,NQEX,12545
RIG,20250717 05:05:48.724000,70184,50,1501,2.59,PACF,12545
RIG,20250717 06:48:08.638000,137271,20,2221,2.57,PACF,12545
RIG,20250717 06:48:08.638000,137269,500,2001,2.58,PACF,12545
RIG,20250717 06:48:08.638000,137270,200,2201,2.57,PACF,12545
RIG,20250717 06:48:08.638000,137273,311,2551,2.57,PACF,12545
RIG,20250717 06:48:08.638000,137272,19,2240,2.57,PACF,12545
RIG,20250717 07:00:24.050000,154492,40,2591,2.58,EDGX,12545
RIG,20250717 07:03:45.933000,160440,60,2651,2.57,MEMX,12545
RIG,20250717 07:05:09.075000,162311,300,5771,2.54,NQEX,12545
RIG,20250717 07:05:09.075000,162310,100,5471,2.54,NQEX,12545
RIG,20250717 07:05:09.075000,162331,3,14263,2.54,EDGX,12545
RIG,20250717 07:05:09.075000,162308,22,4771,2.57,NQEX,12545
RIG,20250717 07:05:09.075000,162307,500,4749,2.54,PACF,12545
RIG,20250717 07:05:09.075000,162306,200,4249,2.54,PACF,12545
RIG,20250717 07:05:09.075000,162329,200,11260,2.54,EDGX,12545
RIG,20250717 07:05:09.075000,162301,189,2840,2.57,PACF,12545
RIG,20250717 07:05:09.075000,162304,500,3950,2.56,PACF,12545
RIG,20250717 07:05:09.075000,162303,600,3450,2.56,PACF,12545
RIG,20250717 07:05:09.075000,162328,10,11060,2.54,EDGX,12545
