SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
RIG, 20250717 04:00:01.000000,530,1,2.57,2.57,2.57,2.57,10,2.57
RIG, 20250717 04:01:05.000000,626,1,2.54,2.54,2.54,2.54,1,2.54
RIG, 20250717 04:01:14.000000,6133,1,2.61,2.61,2.61,2.61,30,2.61
RIG, 20250717 04:15:25.000000,7154,1,2.61,2.61,2.61,2.61,400,2.61
RIG, 20250717 04:19:30.000000,8785,1,2.57,2.57,2.57,2.57,32,2.57
RIG, 20250717 04:27:12.000000,16030,1,2.57,2.57,2.57,2.57,978,2.57
RIG, 20250717 05:05:48.000000,31245,1,2.59,2.59,2.59,2.59,50,2.59
RIG, 20250717 06:48:08.000000,33303,1,2.57,2.58,2.57,2.57,1050,2.57
RIG, 20250717 07:00:24.000000,34122,1,2.58,2.58,2.58,2.58,40,2.58
RIG, 20250717 07:03:45.000000,34418,1,2.57,2.57,2.57,2.57,60,2.57
RIG, 20250717 07:05:09.000000,40083,1,2.54,2.57,2.54,2.54,14612,2.54
RIG, 20250717 07:36:36.000000,44031,1,2.54,2.54,2.54,2.54,3,2.54
RIG, 20250717 08:00:00.000000,44077,1,2.54,2.58,2.54,2.54,1406,2.54
RIG, 20250717 08:00:01.000000,44086,1,2.54,2.57,2.54,2.54,10974,2.54
RIG, 20250717 08:00:02.000000,44147,1,2.54,2.54,2.54,2.54,1250,2.54
RIG, 20250717 08:00:03.000000,44228,1,2.54,2.54,2.54,2.54,2274,2.54
RIG, 20250717 08:00:05.000000,44267,1,2.54,2.54,2.54,2.54,18,2.54
RIG, 20250717 08:00:06.000000,44289,1,2.59,2.59,2.59,2.59,40,2.59
RIG, 20250717 08:00:07.000000,44536,1,2.54,2.59,2.54,2.54,392,2.57
RIG, 20250717 08:00:15.000000,44581,1,2.54,2.54,2.54,2.54,2000,2.54
RIG, 20250717 08:00:17.000000,44624,1,2.54,2.54,2.54,2.54,2000,2.54
RIG, 20250717 08:00:18.000000,44639,1,2.54,2.54,2.54,2.54,300,2.54
RIG, 20250717 08:00:19.000000,44685,1,2.54,2.54,2.54,2.54,2000,2.54
RIG, 20250717 08:00:20.000000,44714,1,2.54,2.54,2.54,2.54,2000,2.54
RIG, 20250717 08:00:21.000000,44735,1,2.58,2.58,2.58,2.58,50,2.58
RIG, 20250717 08:00:22.000000,45082,1,2.54,2.54,2.54,2.54,500,2.54
RIG, 20250717 08:00:46.000000,45314,1,2.54,2.54,2.54,2.54,7,2.54
RIG, 20250717 08:01:08.000000,45417,1,2.54,2.54,2.54,2.54,1,2.54
RIG, 20250717 08:01:14.000000,46355,1,2.54,2.54,2.54,2.54,1,2.54
RIG, 20250717 08:02:46.000000,46841,1,2.54,2.54,2.54,2.54,1,2.54
RIG, 20250717 08:03:45.000000,48493,1,2.54,2.54,2.54,2.54,2000,2.54
RIG, 20250717 08:07:17.000000,49298,1,2.54,2.54,2.54,2.54,9308,2.54
RIG, 20250717 08:09:00.000000,49740,1,2.54,2.54,2.54,2.54,200,2.54
RIG, 20250717 08:09:55.000000,50057,1,2.54,2.54,2.54,2.54,1,2.54
RIG, 20250717 08:10:37.000000,50263,1,2.54,2.54,2.54,2.54,100,2.54
RIG, 20250717 08:11:04.000000,50274,1,2.54,2.54,2.54,2.54,100,2.54
RIG, 20250717 08:11:06.000000,50487,1,2.54,2.54,2.54,2.54,2484,2.54
RIG, 20250717 08:11:30.000000,50499,1,2.54,2.54,2.54,2.54,1000,2.54
RIG, 20250717 08:11:32.000000,50561,1,2.54,2.54,2.54,2.54,1917,2.54
RIG, 20250717 08:11:40.000000,50605,1,2.54,2.54,2.54,2.54,100,2.54
RIG, 20250717 08:11:45.000000,50670,1,2.54,2.54,2.54,2.54,2000,2.54
RIG, 20250717 08:11:52.000000,50705,1,2.54,2.54,2.54,2.54,100,2.54
RIG, 20250717 08:11:57.000000,50765,1,2.54,2.54,2.54,2.54,340,2.54
RIG, 20250717 08:12:04.000000,50781,1,2.54,2.54,2.54,2.54,100,2.54
RIG, 20250717 08:12:07.000000,50856,1,2.54,2.54,2.54,2.54,260,2.54
RIG, 20250717 08:12:15.000000,50868,1,2.54,2.54,2.54,2.54,100,2.54
RIG, 20250717 08:12:17.000000,50963,1,2.54,2.54,2.54,2.54,220,2.54
RIG, 20250717 08:12:28.000000,51056,1,2.54,2.54,2.54,2.54,160,2.54
RIG, 20250717 08:12:38.000000,51071,1,2.54,2.54,2.54,2.54,100,2.54
RIG, 20250717 08:12:40.000000,51179,1,2.54,2.54,2.54,2.54,140,2.54
RIG, 20250717 08:12:51.000000,51269,1,2.54,2.54,2.54,2.54,100,2.54
RIG, 20250717 08:13:01.000000,51299,1,2.54,2.54,2.54,2.54,100,2.54
RIG, 20250717 08:13:04.000000,51369,1,2.54,2.54,2.54,2.54,100,2.54
RIG, 20250717 08:13:13.000000,51448,1,2.54,2.54,2.54,2.54,100,2.54
RIG, 20250717 08:13:23.000000,51481,1,2.54,2.54,2.54,2.54,100,2.54
RIG, 20250717 08:13:27.000000,51525,1,2.54,2.54,2.54,2.54,2000,2.54
RIG, 20250717 08:13:32.000000,52570,1,2.56,2.56,2.56,2.56,192,2.56
RIG, 20250717 08:15:48.000000,53081,1,2.56,2.56,2.56,2.56,300,2.56
RIG, 20250717 08:16:55.000000,54744,1,2.57,2.57,2.57,2.57,1000,2.57
RIG, 20250717 08:20:16.000000,57468,1,2.56,2.56,2.56,2.56,500,2.56
RIG, 20250717 08:25:59.000000,60165,1,2.56,2.56,2.56,2.56,150,2.56
RIG, 20250717 08:31:11.000000,60336,1,2.6,2.6,2.6,2.6,400,2.6
RIG, 20250717 08:31:27.000000,63742,1,2.6,2.6,2.6,2.6,6,2.6
RIG, 20250717 08:36:59.000000,64537,1,2.6,2.6,2.6,2.6,50,2.6
RIG, 20250717 08:38:13.000000,65381,1,2.6,2.6,2.6,2.6,4000,2.6
RIG, 20250717 08:39:30.000000,67233,1,2.6,2.6,2.6,2.6,20,2.6
RIG, 20250717 08:42:20.000000,67258,1,2.58,2.58,2.58,2.58,50,2.58
RIG, 20250717 08:42:22.000000,69823,1,2.6,2.6,2.6,2.6,2,2.6
RIG, 20250717 08:46:27.000000,72180,1,2.57,2.57,2.57,2.57,2,2.57
RIG, 20250717 08:50:13.000000,76123,1,2.59,2.59,2.59,2.59,100,2.59
RIG, 20250717 08:56:17.000000,76228,1,2.59,2.59,2.59,2.59,150,2.59
RIG, 20250717 08:56:26.000000,78824,1,2.57,2.57,2.57,2.57,3732,2.57
RIG, 20250717 09:00:13.000000,79236,1,2.57,2.57,2.57,2.57,5,2.57
RIG, 20250717 09:00:49.000000,82975,1,2.57,2.57,2.57,2.57,5,2.57
RIG, 20250717 09:05:58.000000,83375,1,2.56,2.56,2.56,2.56,6555,2.56
RIG, 20250717 09:06:34.000000,85543,1,2.56,2.56,2.56,2.56,2,2.56
RIG, 20250717 09:09:38.000000,86307,1,2.56,2.56,2.54,2.56,26120,2.56
RIG, 20250717 09:10:44.000000,86832,1,2.56,2.56,2.56,2.56,2,2.56
RIG, 20250717 09:11:28.000000,86853,1,2.56,2.56,2.56,2.56,620,2.56
RIG, 20250717 09:11:30.000000,87824,1,2.56,2.56,2.56,2.56,2000,2.56
RIG, 20250717 09:12:52.000000,87852,1,2.54,2.54,2.54,2.54,8657,2.54
RIG, 20250717 09:12:54.000000,89131,1,2.54,2.54,2.54,2.54,3905,2.54
RIG, 20250717 09:14:43.000000,89153,1,2.54,2.54,2.54,2.54,100,2.54
RIG, 20250717 09:14:45.000000,89354,1,2.54,2.54,2.54,2.54,1,2.54
RIG, 20250717 09:15:03.000000,89561,1,2.54,2.54,2.54,2.54,100,2.54
RIG, 20250717 09:15:20.000000,89898,1,2.54,2.54,2.54,2.54,100,2.54
RIG, 20250717 09:15:50.000000,89973,1,2.56,2.56,2.56,2.56,3000,2.56
RIG, 20250717 09:15:56.000000,91714,1,2.54,2.54,2.54,2.54,6,2.54
RIG, 20250717 09:18:21.000000,92993,1,2.54,2.54,2.54,2.54,1000,2.54
RIG, 20250717 09:20:14.000000,93412,1,2.54,2.54,2.54,2.54,1000,2.54
RIG, 20250717 09:20:49.000000,93784,1,2.54,2.54,2.54,2.54,15000,2.54
RIG, 20250717 09:21:20.000000,93794,1,2.54,2.54,2.54,2.54,3000,2.54
RIG, 20250717 09:21:21.000000,93818,1,2.56,2.56,2.54,2.54,1442,2.54
RIG, 20250717 09:21:22.000000,93819,1,2.54,2.54,2.54,2.54,2700,2.54
RIG, 20250717 09:21:23.000000,93990,1,2.54,2.54,2.54,2.54,2000,2.54
RIG, 20250717 09:21:37.000000,94044,1,2.54,2.54,2.54,2.54,1000,2.54
RIG, 20250717 09:21:41.000000,94225,1,2.54,2.54,2.54,2.54,13,2.54
RIG, 20250717 09:21:56.000000,94413,1,2.54,2.54,2.54,2.54,820,2.54
RIG, 20250717 09:22:10.000000,94666,1,2.54,2.54,2.54,2.54,169,2.54
RIG, 20250717 09:22:30.000000,94739,1,2.54,2.54,2.54,2.54,1959,2.54
RIG, 20250717 09:22:36.000000,95207,1,2.54,2.54,2.54,2.54,80,2.54
RIG, 20250717 09:23:17.000000,95310,1,2.52,2.52,2.52,2.52,14,2.52
RIG, 20250717 09:23:26.000000,95730,1,2.54,2.54,2.54,2.54,1,2.54
RIG, 20250717 09:24:01.000000,95849,1,2.52,2.54,2.52,2.54,1003,2.52
RIG, 20250717 09:24:08.000000,96084,1,2.54,2.54,2.54,2.54,2,2.54
RIG, 20250717 09:24:25.000000,96096,1,2.54,2.54,2.54,2.54,300,2.54
RIG, 20250717 09:24:26.000000,96334,1,2.52,2.52,2.52,2.52,100,2.52
RIG, 20250717 09:24:46.000000,97575,1,2.54,2.54,2.54,2.54,240,2.54
RIG, 20250717 09:26:28.000000,97920,1,2.54,2.54,2.54,2.54,1,2.54
