SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
RIVN,20250717 04:01:06.000000,0,12.4,12.4,689,689,689,689,689,0.02,0.24,0.02,0.24,0.02,0.24,0.02,0.24,0.02,0.24,0.02,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.38,12.38,12.41,12.41,12.38,12.41
RIVN,20250717 04:02:04.000000,0,12.4,12.4,34,723,723,723,723,0.02,0.24,0.02,0.24,0.02,0.24,0.02,0.24,0.02,0.24,0.02,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4,12.38,12.4,12.41,12.38,12.41
RIVN,20250717 04:03:25.000000,0,12.4,12.4,2,725,725,725,725,0,0,0.02,0.24,0.02,0.24,0.02,0.24,0.02,0.24,0.02,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4,12.4,12.4,12.4,12.38,12.41
RIVN,20250717 04:04:08.000000,0,12.4,12.4,9,734,734,734,734,0,0.08,0.02,0.24,0.02,0.24,0.02,0.24,0.02,0.24,0.02,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4,12.4,12.41,12.41,12.38,12.41
RIVN,20250717 04:05:29.000000,0,12.4,12.4,613,1347,1347,1347,1347,0,0.08,0.02,0.24,0.02,0.24,0.02,0.24,0.02,0.24,0.02,0.24,0,0.08,0,0.08,0,0.08,0,0.08,0,0.08,0,0.08,0,0.08,12.4,12.4,12.41,12.41,12.38,12.41
RIVN,20250717 04:06:56.000000,0,12.4,12.4,116,774,1463,1463,1463,0,0.08,0,0.08,0.02,0.24,0.02,0.24,0.02,0.24,0.02,0.24,0,0,0,0.08,0,0.08,0,0.08,0,0.08,0,0.08,0,0.08,12.41,12.4,12.41,12.41,12.4,12.41
RIVN,20250717 04:07:12.000000,0,12.4,12.4,5,745,1468,1468,1468,0,0.08,0,0.08,0.02,0.24,0.02,0.24,0.02,0.24,0.02,0.24,0,-0.08,0,0,0,0,0,0,0,0,0,0,0,0,12.4,12.4,12.4,12.41,12.4,12.41
RIVN,20250717 04:08:02.000000,0,12.4,12.4,1391,2134,2859,2859,2859,0,0.08,0,0.08,0.02,0.24,0.02,0.24,0.02,0.24,0.02,0.24,0,0.08,0,0.08,0,0.08,0,0.08,0,0.08,0,0.08,0,0.08,12.41,12.4,12.41,12.41,12.4,12.41
RIVN,20250717 04:11:01.000000,0,12.4,12.4,15,2140,2874,2874,2874,0,0.08,0,0.08,0.02,0.24,0.02,0.24,0.02,0.24,0.02,0.24,0,-0.08,0,-0.08,0,0,0,0,0,0,0,0,0,0,12.4,12.4,12.4,12.41,12.4,12.41
RIVN,20250717 04:12:21.000000,0,12.4,12.4,51,1457,2202,2925,2925,0,0.08,0,0.08,0.02,0.24,0.02,0.24,0.02,0.24,0.02,0.24,0,0,0,-0.08,0,0,0,0,0,0,0,0,0,0,12.4,12.4,12.41,12.41,12.4,12.41
