SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
RIVN, 20250717 04:00:00.000000,125,1,12.38,12.41,12.38,12.41,8,12.39
RIVN, 20250717 04:00:14.000000,199,1,12.4,12.4,12.38,12.38,680,12.39
RIVN, 20250717 04:00:25.000000,531,1,12.4,12.4,12.4,12.4,1,12.4
RIVN, 20250717 04:01:05.000000,541,1,12.4,12.4,12.4,12.4,23,12.4
RIVN, 20250717 04:01:06.000000,1183,1,12.4,12.4,12.4,12.4,11,12.4
RIVN, 20250717 04:02:03.000000,1694,1,12.4,12.4,12.4,12.4,1,12.4
RIVN, 20250717 04:02:50.000000,2042,1,12.4,12.4,12.4,12.4,1,12.4
RIVN, 20250717 04:03:24.000000,2092,1,12.41,12.41,12.41,12.41,6,12.41
RIVN, 20250717 04:03:28.000000,2300,1,12.41,12.41,12.41,12.41,1,12.41
RIVN, 20250717 04:03:46.000000,2518,1,12.4,12.4,12.4,12.4,2,12.4
RIVN, 20250717 04:04:07.000000,2720,1,12.4,12.4,12.4,12.4,50,12.4
RIVN, 20250717 04:04:29.000000,2731,1,12.4,12.4,12.4,12.4,5,12.4
RIVN, 20250717 04:04:30.000000,2759,1,12.41,12.41,12.41,12.41,20,12.41
RIVN, 20250717 04:04:32.000000,2766,1,12.4,12.4,12.4,12.4,36,12.4
RIVN, 20250717 04:04:33.000000,2816,1,12.4,12.4,12.4,12.4,1,12.4
RIVN, 20250717 04:04:38.000000,2886,1,12.4,12.4,12.4,12.4,500,12.4
RIVN, 20250717 04:04:43.000000,3179,1,12.41,12.41,12.41,12.41,1,12.41
RIVN, 20250717 04:05:28.000000,3252,1,12.41,12.41,12.41,12.41,100,12.41
RIVN, 20250717 04:05:39.000000,3359,1,12.41,12.41,12.41,12.41,6,12.41
RIVN, 20250717 04:05:59.000000,3668,1,12.41,12.41,12.41,12.41,10,12.41
RIVN, 20250717 04:06:55.000000,3753,1,12.4,12.4,12.4,12.4,5,12.4
RIVN, 20250717 04:07:11.000000,3965,1,12.41,12.41,12.41,12.41,600,12.41
RIVN, 20250717 04:07:46.000000,4063,1,12.41,12.41,12.41,12.41,791,12.41
RIVN, 20250717 04:08:01.000000,4984,1,12.4,12.4,12.4,12.4,15,12.4
RIVN, 20250717 04:11:00.000000,5000,1,12.41,12.41,12.41,12.41,1,12.41
RIVN, 20250717 04:11:05.000000,5346,1,12.4,12.4,12.4,12.4,50,12.4
RIVN, 20250717 04:12:20.000000,5459,1,12.41,12.41,12.41,12.41,1,12.41
RIVN, 20250717 04:12:47.000000,5850,1,12.41,12.41,12.41,12.41,3218,12.41
RIVN, 20250717 04:14:17.000000,6097,1,12.41,12.41,12.41,12.41,4,12.41
RIVN, 20250717 04:15:16.000000,6352,1,12.41,12.41,12.41,12.41,10,12.41
RIVN, 20250717 04:16:15.000000,6745,1,12.41,12.41,12.41,12.41,2,12.41
RIVN, 20250717 04:17:48.000000,6839,1,12.41,12.41,12.41,12.41,1815,12.41
RIVN, 20250717 04:18:10.000000,7282,1,12.41,12.41,12.41,12.41,28,12.41
RIVN, 20250717 04:20:05.000000,7361,1,12.41,12.41,12.41,12.41,20,12.41
RIVN, 20250717 04:20:24.000000,7540,1,12.41,12.41,12.41,12.41,600,12.41
RIVN, 20250717 04:21:13.000000,7571,1,12.41,12.41,12.41,12.41,5,12.41
RIVN, 20250717 04:21:22.000000,8421,1,12.4,12.4,12.4,12.4,40,12.4
RIVN, 20250717 04:25:21.000000,8488,1,12.41,12.41,12.41,12.41,1,12.41
RIVN, 20250717 04:25:41.000000,8623,1,12.42,12.42,12.41,12.41,200,12.42
RIVN, 20250717 04:26:26.000000,9530,1,12.41,12.41,12.41,12.41,40,12.41
RIVN, 20250717 04:31:01.000000,10220,1,12.42,12.42,12.42,12.42,20,12.42
RIVN, 20250717 04:34:21.000000,10257,1,12.41,12.41,12.41,12.41,1,12.41
