SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
SMCI, 20250717 04:00:00.000000,9,1,53.5,53.7,53.5,53.53,1306,53.53
SMCI, 20250717 04:00:01.000000,42,1,53.63,53.63,53.52,53.52,89,53.57
SMCI, 20250717 04:00:04.000000,89,1,53.52,53.52,53.52,53.52,12,53.52
SMCI, 20250717 04:00:08.000000,182,1,53.58,53.6,53.52,53.52,400,53.58
SMCI, 20250717 04:00:22.000000,306,1,53.61,53.61,53.61,53.61,1,53.61
SMCI, 20250717 04:00:39.000000,311,1,53.6,53.6,53.6,53.6,12,53.6
SMCI, 20250717 04:00:40.000000,357,1,53.58,53.6,53.57,53.58,1076,53.58
SMCI, 20250717 04:00:45.000000,358,1,53.59,53.59,53.59,53.59,31,53.59
SMCI, 20250717 04:00:46.000000,424,1,53.59,53.59,53.59,53.59,93,53.59
SMCI, 20250717 04:00:53.000000,444,1,53.59,53.59,53.59,53.59,2,53.59
SMCI, 20250717 04:00:56.000000,460,1,53.62,53.62,53.62,53.62,5,53.62
SMCI, 20250717 04:00:58.000000,489,1,53.64,53.69,53.64,53.69,150,53.66
SMCI, 20250717 04:01:01.000000,514,1,53.67,53.67,53.67,53.67,50,53.67
SMCI, 20250717 04:01:03.000000,529,1,53.66,53.67,53.66,53.67,200,53.66
SMCI, 20250717 04:01:05.000000,540,1,53.65,53.65,53.65,53.65,168,53.65
SMCI, 20250717 04:01:06.000000,640,1,53.64,53.64,53.63,53.63,366,53.63
SMCI, 20250717 04:01:15.000000,719,1,53.65,53.65,53.65,53.65,1,53.65
SMCI, 20250717 04:01:21.000000,778,1,53.69,53.69,53.69,53.69,10,53.69
SMCI, 20250717 04:01:26.000000,811,1,53.69,53.69,53.69,53.69,69,53.69
SMCI, 20250717 04:01:29.000000,892,1,53.7,53.7,53.69,53.69,530,53.69
SMCI, 20250717 04:01:36.000000,938,1,53.69,53.69,53.69,53.69,4,53.69
SMCI, 20250717 04:01:39.000000,956,1,53.69,53.69,53.68,53.69,549,53.68
SMCI, 20250717 04:01:41.000000,1062,1,53.68,53.68,53.68,53.68,20,53.68
SMCI, 20250717 04:01:52.000000,1074,1,53.71,53.71,53.71,53.71,3,53.71
SMCI, 20250717 04:01:53.000000,1105,1,53.71,53.71,53.71,53.71,40,53.71
SMCI, 20250717 04:01:56.000000,1116,1,53.74,53.74,53.74,53.74,200,53.74
SMCI, 20250717 04:01:57.000000,1164,1,53.74,53.74,53.74,53.74,1,53.74
SMCI, 20250717 04:02:01.000000,1225,1,53.71,53.74,53.71,53.74,35,53.72
SMCI, 20250717 04:02:07.000000,1260,1,53.74,53.74,53.74,53.74,10,53.74
SMCI, 20250717 04:02:11.000000,1314,1,53.74,53.75,53.74,53.75,351,53.75
SMCI, 20250717 04:02:16.000000,1326,1,53.78,53.8,53.78,53.79,508,53.79
SMCI, 20250717 04:02:17.000000,1343,1,53.78,53.78,53.78,53.78,125,53.78
SMCI, 20250717 04:02:18.000000,1362,1,53.75,53.75,53.75,53.75,10,53.75
SMCI, 20250717 04:02:19.000000,1373,1,53.79,53.8,53.79,53.8,223,53.79
SMCI, 20250717 04:02:20.000000,1426,1,53.8,53.8,53.8,53.8,90,53.8
SMCI, 20250717 04:02:25.000000,1429,1,53.81,53.81,53.76,53.76,60,53.77
SMCI, 20250717 04:02:26.000000,1502,1,53.8,53.8,53.8,53.8,13,53.8
SMCI, 20250717 04:02:32.000000,1510,1,53.8,53.8,53.8,53.8,1,53.8
SMCI, 20250717 04:02:33.000000,1553,1,53.75,53.81,53.75,53.79,168,53.8
SMCI, 20250717 04:02:37.000000,1584,1,53.84,53.84,53.84,53.84,15,53.84
SMCI, 20250717 04:02:40.000000,1671,1,53.79,53.8,53.77,53.77,12,53.78
SMCI, 20250717 04:02:48.000000,1723,1,53.77,53.8,53.77,53.8,65,53.77
