SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
SNAP,20250717 04:03:15.000000,0,9.65,9.65,7,7,7,7,7,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.64,9.64,9.65,9.65,9.64,9.65
SNAP,20250717 04:05:35.000000,0,9.65,9.65,344,351,351,351,351,0,0,0.01,0.2,0.01,0.2,0.01,0.2,0.01,0.2,0.01,0.2,0,0,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,9.66,9.66,9.66,9.66,9.64,9.66
SNAP,20250717 04:06:27.000000,0,9.65,9.65,2,353,353,353,353,0,0,0.01,0.2,0.01,0.2,0.01,0.2,0.01,0.2,0.01,0.2,0,0,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,9.66,9.66,9.66,9.66,9.64,9.66
SNAP,20250717 04:13:10.000000,0,9.65,9.65,3,349,356,356,356,0,0,0,0,0.01,0.2,0.01,0.2,0.01,0.2,0.01,0.2,0,0,0,0,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,9.66,9.66,9.66,9.66,9.66,9.66
SNAP,20250717 04:14:45.000000,0,9.65,9.65,1,1,6,357,357,0,0,0,0,0.01,0.2,0.01,0.2,0.01,0.2,0.01,0.2,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0,0.1,9.66,9.66,9.66,9.66,9.66,9.66
SNAP,20250717 04:15:42.000000,0,9.65,9.65,1,2,7,358,358,0,0.1,0,0.1,0.02,0.31,0.02,0.31,0.02,0.31,0.02,0.31,0,0.1,0,0.1,0,0.1,0.01,0.2,0.01,0.2,0.01,0.2,0.01,0.2,9.67,9.66,9.67,9.67,9.66,9.67
SNAP,20250717 04:19:02.000000,0,9.66,9.65,11,13,16,369,369,0,0,0,0.1,0.02,0.31,0.02,0.31,0.02,0.31,0.02,0.31,0,0,0,0.1,0,0.1,0.01,0.2,0.01,0.2,0.01,0.2,0.01,0.2,9.67,9.67,9.67,9.67,9.66,9.67
SNAP,20250717 04:20:44.000000,0,9.66,9.65,69,80,82,87,438,0,0.1,0,0.1,0.01,0.2,0.03,0.41,0.03,0.41,0.03,0.41,0,0,0,0,0,0.1,0,0.1,0.01,0.2,0.01,0.2,0.01,0.2,9.67,9.67,9.68,9.68,9.67,9.68
SNAP,20250717 04:22:52.000000,0,9.66,9.65,333,402,415,418,771,0,0.1,0,0.1,0.01,0.2,0.03,0.41,0.03,0.41,0.03,0.41,0,0.1,0,0.1,0.01,0.2,0.01,0.2,0.02,0.3,0.02,0.3,0.02,0.3,9.68,9.67,9.68,9.68,9.67,9.68
SNAP,20250717 04:23:10.000000,0,9.67,9.66,100,502,515,515,871,0,0,0.01,0.2,0.02,0.3,0.04,0.51,0.04,0.51,0.04,0.51,0,0,0.01,0.2,0.02,0.3,0.02,0.3,0.03,0.41,0.03,0.41,0.03,0.41,9.69,9.69,9.69,9.69,9.67,9.69
SNAP,20250717 04:24:38.000000,0,9.67,9.66,495,997,1009,1010,1366,0,0.1,0.01,0.2,0.02,0.3,0.04,0.51,0.04,0.51,0.04,0.51,0,-0.1,0,0.1,0,0.1,0.01,0.2,0.02,0.3,0.02,0.3,0.02,0.3,9.68,9.68,9.68,9.69,9.67,9.69
SNAP,20250717 04:25:51.000000,0,9.67,9.66,30,958,1038,1040,1396,0,0.1,0,0.1,0.02,0.3,0.04,0.51,0.04,0.51,0.04,0.51,0,0.1,0,0.1,0.01,0.2,0.02,0.3,0.03,0.41,0.03,0.41,0.03,0.41,9.69,9.68,9.69,9.69,9.68,9.69
SNAP,20250717 04:26:52.000000,0,9.67,9.66,401,1026,1428,1441,1797,0,0.1,0,0.1,0.02,0.3,0.04,0.51,0.04,0.51,0.04,0.51,0,-0.1,0,-0.1,0,0.1,0.01,0.2,0.02,0.3,0.02,0.3,0.02,0.3,9.68,9.68,9.68,9.69,9.68,9.69
SNAP,20250717 04:28:42.000000,0,9.67,9.66,2,1028,1430,1443,1799,0,0,0,0.1,0.02,0.3,0.04,0.51,0.04,0.51,0.04,0.51,0,0,0,-0.1,0,0.1,0.01,0.2,0.02,0.3,0.02,0.3,0.02,0.3,9.68,9.68,9.68,9.68,9.68,9.69
