SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
SOFI,20250717 04:01:10.000000,0,21.4,21.4,3381,3381,3381,3381,3381,0.17,0.84,0.17,0.84,0.17,0.84,0.17,0.84,0.17,0.84,0.17,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.32,21.32,21.5,21.5,21.32,21.5
SOFI,20250717 04:02:04.000000,0,21.41,21.4,3389,6770,6770,6770,6770,0.17,0.83,0.17,0.83,0.17,0.83,0.17,0.83,0.17,0.83,0.17,0.83,0.07,0.32,0.07,0.32,0.07,0.32,0.07,0.32,0.07,0.32,0.07,0.32,0.07,0.32,21.44,21.32,21.47,21.5,21.32,21.5
SOFI,20250717 04:03:04.000000,0,21.42,21.41,4572,11342,11342,11342,11342,0.04,0.23,0.17,0.83,0.17,0.83,0.17,0.83,0.17,0.83,0.17,0.83,0.01,0.04,0.08,0.37,0.08,0.37,0.08,0.37,0.08,0.37,0.08,0.37,0.08,0.37,21.45,21.44,21.49,21.49,21.32,21.5
SOFI,20250717 04:04:07.000000,0,21.43,21.41,4042,15384,15384,15384,15384,0.03,0.18,0.17,0.83,0.17,0.83,0.17,0.83,0.17,0.83,0.17,0.83,0,0,0.08,0.37,0.08,0.37,0.08,0.37,0.08,0.37,0.08,0.37,0.08,0.37,21.47,21.45,21.49,21.49,21.32,21.5
SOFI,20250717 04:05:14.000000,0,21.44,21.42,414,15798,15798,15798,15798,0.02,0.13,0.17,0.83,0.17,0.83,0.17,0.83,0.17,0.83,0.17,0.83,-0.01,-0.04,0.07,0.32,0.07,0.32,0.07,0.32,0.07,0.32,0.07,0.32,0.07,0.32,21.46,21.46,21.49,21.49,21.32,21.5
SOFI,20250717 04:06:01.000000,0,21.44,21.42,2,12419,15800,15800,15800,0.02,0.13,0.04,0.23,0.17,0.83,0.17,0.83,0.17,0.83,0.17,0.83,0,0,0,0,0.07,0.32,0.07,0.32,0.07,0.32,0.07,0.32,0.07,0.32,21.47,21.46,21.47,21.49,21.44,21.49
SOFI,20250717 04:07:02.000000,0,21.45,21.43,9,9039,15809,15809,15809,0.01,0.04,0.03,0.18,0.17,0.83,0.17,0.83,0.17,0.83,0.17,0.83,0.01,0.04,0,0,0.08,0.37,0.08,0.37,0.08,0.37,0.08,0.37,0.08,0.37,21.47,21.47,21.48,21.48,21.45,21.49
SOFI,20250717 04:08:17.000000,0,21.46,21.43,220,4687,16029,16029,16029,0.03,0.13,0.03,0.18,0.17,0.83,0.17,0.83,0.17,0.83,0.17,0.83,0,0,0,0,0.08,0.37,0.08,0.37,0.08,0.37,0.08,0.37,0.08,0.37,21.45,21.45,21.48,21.48,21.45,21.49
SOFI,20250717 04:09:41.000000,0,21.46,21.44,221,866,16250,16250,16250,0.03,0.13,0.03,0.18,0.17,0.83,0.17,0.83,0.17,0.83,0.17,0.83,-0.01,-0.04,0,0,0.07,0.32,0.07,0.32,0.07,0.32,0.07,0.32,0.07,0.32,21.45,21.45,21.47,21.48,21.45,21.49
SOFI,20250717 04:10:24.000000,0,21.45,21.44,233,685,16483,16483,16483,0.02,0.13,0.03,0.18,0.17,0.83,0.17,0.83,0.17,0.83,0.17,0.83,-0.02,-0.13,-0.02,-0.13,0.04,0.18,0.04,0.18,0.04,0.18,0.04,0.18,0.04,0.18,21.44,21.44,21.45,21.47,21.44,21.48
SOFI,20250717 04:11:03.000000,0,21.46,21.44,2,685,13104,16485,16485,0.02,0.13,0.03,0.18,0.17,0.83,0.17,0.83,0.17,0.83,0.17,0.83,0.02,0.13,-0.01,-0.04,0,0,0.07,0.32,0.07,0.32,0.07,0.32,0.07,0.32,21.47,21.44,21.47,21.47,21.44,21.48
SOFI,20250717 04:12:03.000000,0,21.45,21.44,2704,3380,12419,19189,19189,0.04,0.23,0.05,0.28,0.17,0.84,0.17,0.84,0.17,0.84,0.17,0.84,-0.04,-0.23,-0.05,-0.28,-0.05,-0.28,0.02,0.09,0.02,0.09,0.02,0.09,0.02,0.09,21.42,21.42,21.47,21.47,21.42,21.48
SOFI,20250717 04:13:03.000000,0,21.44,21.44,412,3572,8259,19601,19601,0.04,0.23,0.04,0.23,0.17,0.83,0.17,0.83,0.17,0.83,0.17,0.83,0,0.04,-0.03,-0.18,-0.05,-0.23,0.03,0.13,0.03,0.13,0.03,0.13,0.03,0.13,21.42,21.42,21.43,21.47,21.42,21.47
SOFI,20250717 04:14:12.000000,0,21.44,21.43,125,3476,4342,19726,19726,0,0.04,0.04,0.23,0.17,0.84,0.17,0.84,0.17,0.84,0.17,0.84,0,-0.04,-0.01,-0.09,-0.04,-0.23,0.02,0.09,0.02,0.09,0.02,0.09,0.02,0.09,21.42,21.42,21.43,21.43,21.42,21.47
SOFI,20250717 04:15:01.000000,0,21.43,21.43,57,3300,3985,19783,19783,0,0.04,0.04,0.23,0.17,0.83,0.17,0.83,0.17,0.83,0.17,0.83,0,0.04,-0.03,-0.18,-0.03,-0.18,0.03,0.13,0.03,0.13,0.03,0.13,0.03,0.13,21.43,21.42,21.43,21.43,21.42,21.47
SOFI,20250717 04:16:05.000000,0,21.43,21.43,226,3524,4209,16628,20009,0.01,0.09,0.05,0.27,0.07,0.37,0.17,0.83,0.17,0.83,0.17,0.83,0,0,0,0.04,-0.05,-0.23,-0.03,-0.18,0.03,0.13,0.03,0.13,0.03,0.13,21.41,21.41,21.43,21.43,21.41,21.47
SOFI,20250717 04:17:01.000000,0,21.44,21.43,990,1810,5190,14229,20999,0.05,0.23,0.05,0.23,0.07,0.37,0.17,0.83,0.17,0.83,0.17,0.83,0.03,0.13,0.03,0.13,-0.01,-0.09,-0.01,-0.09,0.06,0.27,0.06,0.27,0.06,0.27,21.43,21.41,21.46,21.46,21.41,21.46
SOFI,20250717 04:18:03.000000,0,21.43,21.43,1079,2477,6049,10736,22078,0.03,0.18,0.05,0.23,0.07,0.37,0.17,0.83,0.17,0.83,0.17,0.83,-0.03,-0.13,0,0.04,-0.03,-0.18,-0.05,-0.23,0.03,0.13,0.03,0.13,0.03,0.13,21.42,21.42,21.45,21.46,21.41,21.46
SOFI,20250717 04:19:39.000000,0,21.43,21.43,946,3298,6774,7640,23024,0.03,0.18,0.05,0.23,0.07,0.37,0.17,0.84,0.17,0.84,0.17,0.84,-0.01,-0.09,-0.01,-0.09,-0.03,-0.14,-0.05,-0.28,0.01,0.04,0.01,0.04,0.01,0.04,21.41,21.41,21.43,21.45,21.41,21.46
SOFI,20250717 04:20:13.000000,0,21.42,21.43,159,3400,6700,7385,23183,0.01,0.09,0.05,0.23,0.07,0.32,0.17,0.84,0.17,0.84,0.17,0.84,0,0,-0.01,-0.09,-0.05,-0.28,-0.05,-0.28,0.01,0.04,0.01,0.04,0.01,0.04,21.41,21.41,21.43,21.43,21.41,21.46
SOFI,20250717 04:21:15.000000,0,21.42,21.43,135,3309,6833,7518,23318,0.01,0.09,0.05,0.23,0.07,0.32,0.17,0.84,0.17,0.84,0.17,0.84,0,0,-0.05,-0.23,-0.01,-0.04,-0.07,-0.32,0.01,0.04,0.01,0.04,0.01,0.04,21.41,21.41,21.43,21.43,21.41,21.46
SOFI,20250717 04:22:14.000000,0,21.42,21.42,39,2358,4168,7548,23357,0.01,0.09,0.03,0.18,0.07,0.32,0.17,0.84,0.17,0.84,0.17,0.84,0,0,-0.01,-0.09,-0.01,-0.09,-0.07,-0.32,0.01,0.04,0.01,0.04,0.01,0.04,21.41,21.41,21.42,21.43,21.41,21.45
SOFI,20250717 04:23:11.000000,0,21.42,21.42,64,1343,3820,7392,23421,0.01,0.09,0.01,0.09,0.05,0.28,0.17,0.84,0.17,0.84,0.17,0.84,0.01,0.04,0.01,0.04,0,0,-0.04,-0.23,0.02,0.09,0.02,0.09,0.02,0.09,21.42,21.41,21.43,21.43,21.41,21.43
SOFI,20250717 04:24:45.000000,0,21.42,21.43,1494,1891,5189,8665,24915,0.03,0.18,0.03,0.18,0.05,0.27,0.17,0.83,0.17,0.83,0.17,0.83,0.02,0.13,0.03,0.18,0.01,0.09,0,0.04,0.05,0.23,0.05,0.23,0.05,0.23,21.41,21.41,21.45,21.45,21.41,21.45
SOFI,20250717 04:25:14.000000,0,21.42,21.43,70,1802,5202,8502,24985,0.03,0.18,0.03,0.18,0.05,0.27,0.17,0.83,0.17,0.83,0.17,0.83,-0.01,-0.09,0.01,0.09,0,0,-0.03,-0.18,0.03,0.13,0.03,0.13,0.03,0.13,21.43,21.41,21.43,21.45,21.41,21.45
SOFI,20250717 04:26:12.000000,0,21.43,21.43,519,2186,5495,9019,25504,0.01,0.04,0.03,0.18,0.05,0.27,0.17,0.83,0.17,0.83,0.17,0.83,0.01,0.04,0.03,0.13,-0.01,-0.09,0.01,0.09,0.04,0.18,0.04,0.18,0.04,0.18,21.44,21.43,21.44,21.44,21.41,21.45
SOFI,20250717 04:28:22.000000,0,21.42,21.42,671,2818,5176,6986,26175,0.03,0.14,0.03,0.18,0.05,0.23,0.17,0.84,0.17,0.84,0.17,0.84,-0.03,-0.14,-0.01,-0.04,-0.01,-0.09,-0.01,-0.09,0.01,0.04,0.01,0.04,0.01,0.04,21.41,21.41,21.42,21.44,21.41,21.45
SOFI,20250717 04:29:02.000000,0,21.42,21.42,98,1358,3249,6547,26273,0.01,0.04,0.03,0.14,0.05,0.23,0.17,0.84,0.17,0.84,0.17,0.84,0,0,0,-0.04,0.01,0.04,0,-0.04,0.02,0.09,0.02,0.09,0.02,0.09,21.41,21.41,21.42,21.42,21.41,21.44
SOFI,20250717 04:30:24.000000,0,21.42,21.42,6,1294,3096,6496,26279,0.01,0.04,0.03,0.14,0.05,0.23,0.17,0.84,0.17,0.84,0.17,0.84,0,0,-0.01,-0.09,0.01,0.04,0,-0.04,0.02,0.09,0.02,0.09,0.02,0.09,21.41,21.41,21.42,21.42,21.41,21.44
SOFI,20250717 04:31:04.000000,0,21.42,21.42,2,777,2963,6272,22900,0.01,0.04,0.01,0.04,0.05,0.23,0.07,0.37,0.17,0.84,0.17,0.84,0,0,0.01,0.04,0.01,0.04,-0.03,-0.18,-0.04,-0.23,0.02,0.09,0.02,0.09,21.42,21.41,21.42,21.42,21.41,21.42
SOFI,20250717 04:32:01.000000,0,21.42,21.42,104,210,3028,5386,19615,0,0,0.01,0.04,0.03,0.18,0.07,0.37,0.17,0.84,0.17,0.84,0,0,0,0,0,0,0,-0.04,-0.05,-0.28,0.02,0.09,0.02,0.09,21.42,21.42,21.42,21.42,21.41,21.42
SOFI,20250717 04:33:42.000000,0,21.42,21.42,94,304,3058,4401,15137,0.01,0.04,0.01,0.04,0.03,0.18,0.07,0.37,0.17,0.84,0.17,0.84,-0.01,-0.04,-0.01,-0.04,-0.03,-0.18,0,0,-0.07,-0.32,0.01,0.04,0.01,0.04,21.41,21.41,21.42,21.42,21.41,21.42
SOFI,20250717 04:35:00.000000,0,21.42,21.42,103,309,1667,3558,11198,0.01,0.09,0.01,0.09,0.03,0.18,0.07,0.37,0.17,0.83,0.17,0.83,0.01,0.09,0,0.04,0,0,0.01,0.09,-0.03,-0.18,0.03,0.13,0.03,0.13,21.41,21.41,21.43,21.43,21.41,21.43
SOFI,20250717 04:35:04.000000,0,21.42,21.42,20,323,1617,3419,10804,0.01,0.09,0.01,0.09,0.03,0.18,0.07,0.32,0.17,0.83,0.17,0.83,0,0,0,0.04,-0.01,-0.04,0.01,0.09,-0.03,-0.18,0.03,0.13,0.03,0.13,21.43,21.41,21.43,21.43,21.41,21.43
SOFI,20250717 04:36:03.000000,0,21.41,21.42,1344,1665,2442,4628,12146,0.03,0.14,0.03,0.14,0.05,0.23,0.08,0.37,0.17,0.84,0.17,0.84,-0.03,-0.14,-0.02,-0.09,-0.01,-0.04,-0.01,-0.04,-0.08,-0.37,0,0,0,0,21.4,21.4,21.42,21.43,21.4,21.43
SOFI,20250717 04:37:05.000000,0,21.41,21.42,3,1564,1774,4592,12140,0.02,0.09,0.03,0.14,0.05,0.23,0.08,0.37,0.17,0.84,0.17,0.84,0.01,0.04,0,0,-0.01,-0.04,-0.01,-0.04,-0.07,-0.32,0.01,0.04,0.01,0.04,21.4,21.4,21.41,21.42,21.4,21.43
SOFI,20250717 04:38:53.000000,0,21.41,21.41,3309,4779,5083,7837,15229,0.01,0.04,0.03,0.14,0.05,0.23,0.07,0.32,0.17,0.84,0.17,0.84,-0.01,-0.04,-0.03,-0.14,-0.02,-0.09,-0.05,-0.23,-0.07,-0.32,0,0,0,0,21.4,21.4,21.41,21.41,21.4,21.43
SOFI,20250717 04:39:10.000000,0,21.41,21.41,7,4683,4992,6350,15015,0.01,0.04,0.03,0.14,0.04,0.18,0.07,0.32,0.17,0.84,0.17,0.84,0,0,-0.03,-0.14,-0.02,-0.09,-0.03,-0.14,-0.04,-0.18,0,0,0,0,21.4,21.4,21.4,21.41,21.4,21.43
SOFI,20250717 04:40:01.000000,0,21.4,21.41,205,4868,5191,6485,14987,0.01,0.04,0.02,0.09,0.04,0.18,0.07,0.32,0.17,0.84,0.17,0.84,0,0,0,0,-0.02,-0.09,-0.04,-0.18,-0.07,-0.32,0,0,0,0,21.4,21.4,21.41,21.41,21.4,21.42
SOFI,20250717 04:41:20.000000,0,21.4,21.41,413,3937,5602,6379,15398,0.01,0.04,0.01,0.04,0.03,0.14,0.07,0.32,0.17,0.84,0.17,0.84,0.01,0.04,0,0,-0.01,-0.04,0,0,-0.01,-0.04,0.01,0.04,0.01,0.04,21.41,21.4,21.41,21.41,21.4,21.41
SOFI,20250717 04:42:40.000000,0,21.4,21.41,21,3955,5519,5729,12715,0.01,0.04,0.02,0.09,0.03,0.14,0.06,0.28,0.17,0.84,0.17,0.84,0,0,0.01,0.04,0,0,-0.01,-0.04,-0.01,-0.09,0.01,0.04,0.01,0.04,21.41,21.41,21.42,21.42,21.4,21.42
SOFI,20250717 04:43:06.000000,0,21.4,21.41,5,651,5430,5734,12308,0.01,0.04,0.02,0.09,0.03,0.14,0.06,0.28,0.17,0.84,0.17,0.84,0,0,0.01,0.04,-0.01,-0.09,-0.01,-0.04,-0.01,-0.04,0.01,0.04,0.01,0.04,21.41,21.41,21.41,21.42,21.4,21.42
SOFI,20250717 04:44:06.000000,0,21.4,21.41,112,756,5439,5748,12295,0.01,0.04,0.02,0.09,0.03,0.14,0.06,0.28,0.17,0.84,0.17,0.84,-0.01,-0.04,0,0,-0.03,-0.14,-0.02,-0.09,-0.03,-0.14,0,0,0,0,21.4,21.4,21.41,21.41,21.4,21.42
SOFI,20250717 04:45:41.000000,0,21.4,21.41,295,846,5714,6037,12533,0.01,0.04,0.02,0.09,0.03,0.14,0.06,0.28,0.17,0.84,0.17,0.84,0,0,-0.01,-0.04,0,0,-0.02,-0.09,-0.03,-0.14,0,0,0,0,21.4,21.4,21.41,21.41,21.4,21.42
SOFI,20250717 04:46:04.000000,0,21.4,21.41,16,449,4386,6051,12323,0.01,0.04,0.02,0.09,0.03,0.14,0.06,0.28,0.17,0.84,0.17,0.84,0.01,0.04,0,0,0,0,-0.01,-0.04,-0.05,-0.23,0.01,0.04,0.01,0.04,21.41,21.4,21.41,21.41,21.4,21.42
SOFI,20250717 04:48:09.000000,0,21.4,21.4,542,970,4925,6489,11875,0.01,0.09,0.01,0.09,0.03,0.18,0.05,0.28,0.17,0.84,0.17,0.84,-0.01,-0.09,-0.01,-0.09,0,-0.04,-0.01,-0.09,-0.03,-0.18,0,-0.04,0,-0.04,21.39,21.39,21.4,21.41,21.39,21.41
SOFI,20250717 04:49:04.000000,0,21.4,21.4,331,1184,1940,6623,10181,0,0,0.01,0.09,0.03,0.18,0.05,0.28,0.17,0.84,0.17,0.84,0,0,0,0,0,0,-0.03,-0.14,-0.01,-0.04,0,0,0,0,21.4,21.4,21.4,21.4,21.39,21.41
SOFI,20250717 04:50:55.000000,0,21.4,21.4,1454,2343,3189,8057,11476,0,0,0.01,0.09,0.03,0.14,0.05,0.28,0.17,0.84,0.17,0.84,0,0,-0.01,-0.04,-0.01,-0.04,0,0,-0.01,-0.04,0,0,0,0,21.4,21.4,21.4,21.4,21.39,21.41
SOFI,20250717 04:51:05.000000,0,21.4,21.4,71,2398,2847,6784,11412,0,0,0,0.04,0.03,0.14,0.05,0.28,0.17,0.84,0.17,0.84,0,0,0,0.04,-0.01,-0.04,-0.01,-0.04,-0.01,-0.04,0,0,0,0,21.4,21.4,21.4,21.4,21.39,21.4
SOFI,20250717 04:52:52.000000,0,21.4,21.4,865,2721,3691,7646,12238,0,0.04,0,0.04,0.03,0.14,0.05,0.28,0.17,0.84,0.17,0.84,0,0,0,0,-0.01,-0.04,0,0,-0.02,-0.09,0,0,0,0,21.39,21.39,21.4,21.4,21.39,21.4
SOFI,20250717 04:53:35.000000,0,21.4,21.4,1584,4305,5270,5921,13758,0.01,0.09,0.01,0.09,0.03,0.14,0.05,0.28,0.17,0.84,0.17,0.84,0.01,0.04,0.01,0.04,0.01,0.04,0.01,0.04,-0.03,-0.18,0.01,0.04,0.01,0.04,21.41,21.39,21.41,21.41,21.39,21.41
SOFI,20250717 04:55:36.000000,0,21.4,21.4,344,4318,5502,6258,12608,0.01,0.09,0.03,0.18,0.03,0.18,0.05,0.23,0.17,0.83,0.17,0.83,0.01,0.09,0.03,0.13,0.03,0.13,0.03,0.13,0,0,0.03,0.13,0.03,0.13,21.41,21.41,21.43,21.43,21.39,21.43
SOFI,20250717 04:56:15.000000,0,21.4,21.4,1225,4018,6416,6865,13244,0.01,0.04,0.03,0.18,0.03,0.18,0.03,0.18,0.17,0.84,0.17,0.84,0,0,0.01,0.04,0.01,0.09,0,0,0,0,0.01,0.04,0.01,0.04,21.41,21.41,21.42,21.42,21.39,21.43
SOFI,20250717 04:59:38.000000,0,21.4,21.4,68,3221,5942,6912,12641,0.01,0.04,0.01,0.09,0.03,0.18,0.03,0.18,0.17,0.84,0.17,0.84,0,0,0,0,0.01,0.04,0,0,-0.01,-0.04,0.01,0.04,0.01,0.04,21.41,21.41,21.41,21.42,21.41,21.43
SOFI,20250717 05:00:27.000000,0,21.4,21.4,1,1294,4158,6501,12538,0,0,0.01,0.04,0.03,0.18,0.03,0.18,0.17,0.84,0.17,0.84,0,0,0,0,0.01,0.04,0,0,-0.01,-0.04,0.01,0.04,0.01,0.04,21.41,21.41,21.41,21.41,21.41,21.42
SOFI,20250717 05:01:14.000000,0,21.4,21.4,201,270,4288,6686,12737,0.01,0.04,0.01,0.04,0.03,0.18,0.03,0.18,0.09,0.46,0.17,0.84,-0.01,-0.04,-0.01,-0.04,0,0,0,0.04,-0.02,-0.09,-0.07,-0.32,0,0,21.4,21.4,21.41,21.41,21.4,21.41
SOFI,20250717 05:02:22.000000,0,21.4,21.4,2282,2484,5705,8426,14915,0.01,0.09,0.01,0.09,0.03,0.18,0.03,0.18,0.09,0.46,0.17,0.84,0,0,-0.01,-0.04,-0.01,-0.04,0,0,-0.01,-0.04,-0.08,-0.37,0,0,21.39,21.39,21.41,21.41,21.39,21.41
SOFI,20250717 05:03:01.000000,0,21.39,21.4,6116,8600,10237,14542,20937,0.07,0.32,0.07,0.32,0.08,0.42,0.08,0.42,0.14,0.7,0.17,0.84,-0.02,-0.14,-0.03,-0.18,-0.05,-0.28,-0.02,-0.14,-0.05,-0.28,-0.1,-0.51,-0.02,-0.14,21.34,21.34,21.38,21.41,21.34,21.41
SOFI,20250717 05:04:32.000000,0,21.39,21.4,71,8671,9964,14282,20905,0.03,0.18,0.07,0.32,0.08,0.42,0.08,0.42,0.14,0.7,0.17,0.84,0,0.04,-0.03,-0.14,-0.03,-0.14,-0.01,-0.09,-0.05,-0.23,-0.08,-0.42,-0.01,-0.09,21.37,21.34,21.38,21.38,21.34,21.41
