SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
SUNE,20250717 04:43:26.000000,0,1.62,1.62,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,1.62,1.62,1.62,1.62,1.62
SUNE,20250717 05:21:42.000000,0,1.62,1.62,2,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,1.62,1.62,1.62,1.62,1.62
SUNE,20250717 05:22:10.000000,0,1.62,1.62,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,1.62,1.62,1.62,1.62,1.62
SUNE,20250717 05:23:42.000000,0,1.62,1.62,2,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,1.62,1.62,1.62,1.62,1.62
SUNE,20250717 05:30:14.000000,0,1.62,1.62,7,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,1.62,1.62,1.62,1.62,1.62
SUNE,20250717 05:46:58.000000,0,1.62,1.62,3,3,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,1.62,1.62,1.62,1.62,1.62
SUNE,20250717 06:08:01.000000,0,1.62,1.62,10,10,10,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,1.62,1.62,1.62,1.62,1.62
SUNE,20250717 06:50:33.000000,0,1.62,1.62,14,14,14,14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,1.62,1.62,1.62,1.62,1.62
SUNE,20250717 07:00:08.000000,0,1.62,1.62,60,60,60,60,60,0,0,0,0,0,0,0,0,0.01,1.21,0.01,1.21,0,0,0,0,0,0,0,0,0,0,0.01,1.21,0.01,1.21,1.64,1.64,1.64,1.64,1.64,1.64
SUNE,20250717 07:20:39.000000,0,1.63,1.62,391,391,391,451,451,0,0,0,0,0.02,1.2,0.02,1.2,0.03,2.4,0.03,2.4,0,0,0,0,0,0,0.02,1.2,0.02,1.2,0.03,2.4,0.03,2.4,1.66,1.66,1.66,1.66,1.66,1.66
SUNE,20250717 07:23:23.000000,0,1.63,1.62,1,1,1,1,392,0,0,0,0,0,0,0,0,0.02,1.2,0.03,2.4,0,0,0,0,0,0,0,0,0,0,0.02,1.2,0.03,2.4,1.66,1.66,1.66,1.66,1.66,1.66
SUNE,20250717 07:24:44.000000,0,1.64,1.63,1,2,2,2,393,0,0,0,0,0,0,0,0,0.02,1.2,0.03,2.4,0,0,0,0,0,0,0,0,0,0,0.02,1.2,0.03,2.4,1.66,1.66,1.66,1.66,1.66,1.66
SUNE,20250717 08:00:02.000000,0,1.64,1.63,48,50,50,50,441,0,0,0,0,0,0,0,0,0.02,1.2,0.03,2.4,0,0,0,0,0,0,0,0,0,0,0.02,1.2,0.03,2.4,1.66,1.66,1.66,1.66,1.66,1.66
SUNE,20250717 08:02:23.000000,0,1.64,1.63,288,288,288,288,288,0.05,3.7,0.05,3.7,0.05,3.7,0.05,3.7,0.05,3.7,0.05,3.7,0,0,0,0,0,0,0,0,0,0,-0.03,-2.46,0,0,1.61,1.61,1.67,1.67,1.61,1.67
SUNE,20250717 08:03:10.000000,0,1.63,1.63,20,308,308,308,308,0,0,0.05,3.7,0.05,3.7,0.05,3.7,0.05,3.7,0.05,3.7,0,0,0,0,0,0,0,0,0,0,-0.03,-2.46,0,0,1.62,1.62,1.62,1.62,1.61,1.67
SUNE,20250717 08:06:10.000000,0,1.63,1.63,1,309,309,309,309,0,0,0.05,3.7,0.05,3.7,0.05,3.7,0.05,3.7,0.05,3.7,0,0,0,0,0,0,0,0,0,0,-0.03,-2.46,0,0,1.62,1.62,1.62,1.62,1.61,1.67
SUNE,20250717 08:07:40.000000,0,1.63,1.63,599,620,908,908,908,0.01,0.6,0.04,3.01,0.05,3.61,0.05,3.61,0.05,3.61,0.05,3.61,0,0,0.03,2.4,0.03,2.4,0.03,2.4,0.03,2.4,0,0,0.03,2.4,1.66,1.66,1.67,1.67,1.62,1.67
SUNE,20250717 08:11:39.000000,0,1.63,1.63,22,622,930,930,930,0.03,1.82,0.04,3.04,0.05,3.65,0.05,3.65,0.05,3.65,0.05,3.65,-0.02,-1.21,0.01,1.21,0.01,1.21,0.01,1.21,0.01,1.21,-0.02,-1.21,0.01,1.21,1.64,1.64,1.65,1.67,1.62,1.67
