SymbolId,TradeTime,Index,Size,TotalVolume,Price,ReportingExchange,TradeCondition
SUNE,20250717 04:38:24.500000,418310,1,1,1.62,EDGX,12545
SUNE,20250717 04:43:25.500000,457373,2,3,1.62,EDGX,12545
SUNE,20250717 05:21:41.416000,731168,1,4,1.62,PACF,12545
SUNE,20250717 05:21:45.628000,731384,1,5,1.62,PACF,12545
SUNE,20250717 05:22:09.341000,733486,1,6,1.62,PACF,12545
SUNE,20250717 05:22:25.776000,734912,1,7,1.62,PACF,12545
SUNE,20250717 05:23:41.426000,742323,7,14,1.62,EDGX,12545
SUNE,20250717 05:30:13.876000,788286,3,17,1.62,EDGX,12545
SUNE,20250717 05:46:57.389000,879045,10,27,1.62,PACF,12545
SUNE,20250717 06:08:00.212000,1002461,14,41,1.62,PACF,12545
SUNE,20250717 06:50:32.894000,1334524,60,101,1.64,EDGX,12545
SUNE,20250717 07:00:07.885000,1423983,143,244,1.66,EDGX,12545
SUNE,20250717 07:00:07.948000,1424013,48,492,1.66,EDGX,12545
SUNE,20250717 07:00:07.948000,1424012,200,444,1.66,EDGX,12545
SUNE,20250717 07:20:38.873000,1698180,1,493,1.66,EDGX,12545
SUNE,20250717 07:23:22.086000,1720805,1,494,1.66,PACF,12545
SUNE,20250717 07:24:43.505000,1735796,17,511,1.66,EDGX,12545
SUNE,20250717 07:24:43.505000,1735797,31,542,1.66,EDGX,12545
SUNE,20250717 08:00:01.211000,2130002,54,596,1.67,NTRF,12545
SUNE,20250717 08:00:02.622000,2179138,100,696,1.66,NQNX,12545
SUNE,20250717 08:00:05.284000,2221911,2,698,1.67,NTRF,12545
SUNE,20250717 08:00:07.247000,2270347,1,699,1.66,NQNX,12545
SUNE,20250717 08:00:07.415000,2274593,127,826,1.62,NQNX,12545
SUNE,20250717 08:00:07.550000,2277679,1,827,1.61,NQNX,12545
SUNE,20250717 08:00:07.576000,2278431,2,829,1.62,NQNX,12545
SUNE,20250717 08:00:07.580000,2278527,1,830,1.62,NQNX,12545
SUNE,20250717 08:02:22.774000,2502611,20,850,1.62,NQNX,12545
SUNE,20250717 08:03:09.499000,2518521,1,851,1.62,NTRF,12545
SUNE,20250717 08:06:09.847000,2581040,1,852,1.67,NQNX,12545
SUNE,20250717 08:06:51.561000,2593439,598,1450,1.66,NQNX,12545
SUNE,20250717 08:07:39.706000,2606105,7,1472,1.65,PACF,12545
SUNE,20250717 08:07:39.706000,2606104,14,1465,1.65,PACF,12545
SUNE,20250717 08:07:39.706000,2606103,1,1451,1.64,EDGX,12545
SUNE,20250717 08:11:38.000000,2680004,1,1473,1.66,NQNX,12545
SUNE,20250717 08:11:38.000000,2680005,199,1672,1.66,NQNX,12545
SUNE,20250717 08:11:51.753000,2683715,11,1683,1.63,NQNX,12545
SUNE,20250717 08:12:32.646000,2695267,55,1738,1.63,EDGX,12545
SUNE,20250717 08:24:22.991000,2899105,4,1742,1.65,PACF,12545
SUNE,20250717 08:25:06.644000,2908616,200,1942,1.63,PACF,12545
SUNE,20250717 08:30:36.507000,2998328,200,2142,1.63,NQNX,12545
SUNE,20250717 08:31:59.084000,3032411,2,2144,1.62,NQNX,12545
SUNE,20250717 08:34:50.377000,3101847,24,2168,1.63,EDGX,12545
SUNE,20250717 08:34:50.379000,3101849,476,2644,1.62,NTRF,12545
SUNE,20250717 08:35:35.233000,3124159,1,2645,1.62,NQNX,12545
SUNE,20250717 08:37:37.289000,3182219,10,2655,1.63,NQNX,12545
