SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
SXTP,20250717 04:04:44.000000,0,1.64,1.64,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,1.64,1.64,1.64,1.64,1.64
SXTP,20250717 04:06:32.000000,0,1.64,1.64,10,40,40,40,40,0,0,0.02,1.2,0.02,1.2,0.02,1.2,0.02,1.2,0.02,1.2,0,0,0.02,1.2,0.02,1.2,0.02,1.2,0.02,1.2,0.02,1.2,0.02,1.2,1.66,1.66,1.66,1.66,1.64,1.66
SXTP,20250717 04:07:16.000000,0,1.64,1.64,138,178,178,178,178,0,0,0.02,1.21,0.02,1.21,0.02,1.21,0.02,1.21,0.02,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,1.64,1.64,1.64,1.64,1.66
SXTP,20250717 04:08:25.000000,0,1.64,1.64,86,234,264,264,264,0.01,0.61,0.03,1.84,0.03,1.84,0.03,1.84,0.03,1.84,0.03,1.84,-0.01,-0.61,-0.03,-1.84,-0.01,-0.61,-0.01,-0.61,-0.01,-0.61,-0.01,-0.61,-0.01,-0.61,1.63,1.63,1.64,1.64,1.63,1.66
SXTP,20250717 04:09:51.000000,0,1.63,1.63,127,361,391,391,391,0.01,0.61,0.03,1.84,0.03,1.84,0.03,1.84,0.03,1.84,0.03,1.84,0,0,-0.03,-1.84,-0.01,-0.61,-0.01,-0.61,-0.01,-0.61,-0.01,-0.61,-0.01,-0.61,1.63,1.63,1.63,1.64,1.63,1.66
SXTP,20250717 04:10:04.000000,0,1.63,1.63,20,371,411,411,411,0,0,0.01,0.61,0.03,1.84,0.03,1.84,0.03,1.84,0.03,1.84,0,0,-0.01,-0.61,-0.01,-0.61,-0.01,-0.61,-0.01,-0.61,-0.01,-0.61,-0.01,-0.61,1.63,1.63,1.63,1.63,1.63,1.64
SXTP,20250717 04:11:47.000000,0,1.62,1.63,1700,2071,2111,2111,2111,0.04,3.16,0.05,3.79,0.07,5.06,0.07,5.06,0.07,5.06,0.07,5.06,-0.04,-3.16,-0.05,-3.79,-0.05,-3.79,-0.05,-3.79,-0.05,-3.79,-0.05,-3.79,-0.05,-3.79,1.58,1.58,1.62,1.63,1.58,1.64
SXTP,20250717 04:15:36.000000,0,1.61,1.62,95,2028,2206,2206,2206,0.05,3.18,0.06,4.45,0.08,5.73,0.08,5.73,0.08,5.73,0.08,5.73,-0.01,-0.63,-0.05,-3.82,-0.06,-4.45,-0.06,-4.45,-0.06,-4.45,-0.06,-4.45,-0.06,-4.45,1.57,1.57,1.58,1.62,1.57,1.64
SXTP,20250717 04:16:51.000000,0,1.61,1.62,1982,2077,4148,4188,4188,0,0,0.05,3.68,0.08,5.52,0.08,5.52,0.08,5.52,0.08,5.52,0,0,0.05,3.68,-0.01,-0.61,-0.01,-0.61,-0.01,-0.61,-0.01,-0.61,-0.01,-0.61,1.63,1.63,1.63,1.63,1.57,1.63
SXTP,20250717 04:18:20.000000,0,1.6,1.62,888,2870,4898,5076,5076,0.04,3.16,0.04,3.16,0.08,5.69,0.08,5.69,0.08,5.69,0.08,5.69,-0.04,-3.16,-0.04,-3.16,-0.04,-3.16,-0.05,-3.79,-0.05,-3.79,-0.05,-3.79,-0.05,-3.79,1.58,1.58,1.62,1.63,1.58,1.63
SXTP,20250717 04:20:20.000000,0,1.6,1.61,113,2983,4798,5159,5189,0,0,0.04,3.16,0.08,5.69,0.08,5.69,0.08,5.69,0.08,5.69,0,0,-0.04,-3.16,-0.04,-3.16,-0.07,-5.06,-0.05,-3.79,-0.05,-3.79,-0.05,-3.79,1.58,1.58,1.58,1.58,1.58,1.63
SXTP,20250717 04:26:38.000000,0,1.6,1.61,68,1069,3146,5217,5257,0.04,2.46,0.04,2.46,0.06,4.32,0.08,5.55,0.08,5.55,0.08,5.55,0,0,0.04,2.46,0.05,3.08,-0.01,-1.23,-0.01,-1.23,-0.01,-1.23,-0.01,-1.23,1.58,1.58,1.62,1.62,1.58,1.62
SXTP,20250717 04:27:33.000000,0,1.6,1.61,22,22,203,3073,5279,0,0,0,0,0.04,3.08,0.08,5.55,0.08,5.55,0.08,5.55,0,0,0,0,0.04,2.46,0,-0.61,-0.01,-1.23,-0.01,-1.23,-0.01,-1.23,1.62,1.62,1.62,1.62,1.62,1.62
SXTP,20250717 04:28:12.000000,0,1.6,1.61,10,32,213,3083,5289,0.01,0.62,0.01,0.62,0.04,3.1,0.08,5.59,0.08,5.59,0.08,5.59,-0.01,-0.62,-0.01,-0.62,0.03,1.86,-0.01,-1.24,-0.02,-1.86,-0.02,-1.86,-0.02,-1.86,1.61,1.61,1.61,1.62,1.61,1.62
SXTP,20250717 04:30:01.000000,0,1.6,1.61,12,44,112,3095,5301,0.02,1.24,0.03,1.86,0.04,3.1,0.08,5.59,0.08,5.59,0.08,5.59,0,0,-0.01,-0.62,-0.01,-0.62,-0.01,-1.24,-0.02,-1.86,-0.02,-1.86,-0.02,-1.86,1.59,1.59,1.61,1.61,1.59,1.62
SXTP,20250717 04:34:50.000000,0,1.6,1.61,11,55,55,1124,5312,0.03,1.89,0.04,2.53,0.04,2.53,0.08,5.69,0.08,5.69,0.08,5.69,0,0,-0.04,-2.53,-0.04,-2.53,0,0,-0.05,-3.79,-0.05,-3.79,-0.05,-3.79,1.58,1.58,1.61,1.61,1.58,1.62
SXTP,20250717 04:35:05.000000,0,1.6,1.61,20,31,75,143,5292,0,0,0.03,1.88,0.04,2.51,0.06,4.4,0.08,5.66,0.08,5.66,0,0,0.01,0.62,-0.03,-1.88,-0.03,-1.88,-0.04,-3.14,-0.04,-3.14,-0.04,-3.14,1.59,1.59,1.59,1.59,1.58,1.61
SXTP,20250717 04:36:15.000000,0,1.6,1.61,351,371,426,426,5643,0.04,2.46,0.04,2.46,0.04,2.46,0.06,4.32,0.08,5.55,0.08,5.55,0.03,1.85,0.03,1.85,0,0,0,0,-0.01,-1.23,-0.01,-1.23,-0.01,-1.23,1.58,1.58,1.62,1.62,1.58,1.62
SXTP,20250717 04:38:42.000000,0,1.6,1.61,3,374,407,429,5508,0.04,2.46,0.04,2.46,0.04,2.46,0.06,4.32,0.08,5.55,0.08,5.55,0,0,0.03,1.85,0.01,0.61,0,0,0,-0.61,-0.01,-1.23,-0.01,-1.23,1.62,1.58,1.62,1.62,1.58,1.62
SXTP,20250717 04:39:03.000000,0,1.61,1.61,10,384,395,439,5305,0,0,0.04,2.46,0.04,2.46,0.05,3.7,0.08,5.55,0.08,5.55,0,0,0.03,1.85,0.04,2.46,0,0,0,-0.61,-0.01,-1.23,-0.01,-1.23,1.62,1.62,1.62,1.62,1.58,1.62
SXTP,20250717 04:40:03.000000,0,1.6,1.6,1605,1969,2000,2044,6890,0.05,3.18,0.05,3.18,0.05,3.18,0.05,3.82,0.08,5.73,0.08,5.73,-0.05,-3.18,-0.05,-3.18,-0.01,-0.63,-0.05,-3.18,-0.01,-0.63,-0.06,-4.45,-0.06,-4.45,1.57,1.57,1.62,1.62,1.57,1.62
SXTP,20250717 04:41:38.000000,0,1.59,1.6,10,1628,1999,2054,5200,0.05,3.18,0.05,3.18,0.05,3.18,0.05,3.82,0.08,5.73,0.08,5.73,0,0,-0.05,-3.18,-0.02,-1.27,-0.05,-3.18,0,0,-0.06,-4.45,-0.06,-4.45,1.57,1.57,1.61,1.62,1.57,1.62
SXTP,20250717 04:46:34.000000,0,1.6,1.6,10,1635,2009,2042,5115,0.05,3.08,0.05,3.08,0.05,3.08,0.05,3.7,0.08,5.55,0.08,5.55,0.05,3.08,0,0,0.03,1.85,0.01,0.61,0,-0.61,-0.01,-1.23,-0.01,-1.23,1.62,1.57,1.62,1.62,1.57,1.62
SXTP,20250717 04:49:46.000000,0,1.6,1.6,22,22,1657,2031,2267,0,0,0,0,0.05,3.1,0.05,3.1,0.08,5.59,0.08,5.59,0,0,0,0,-0.01,-0.62,0.02,1.24,0.03,1.86,-0.02,-1.86,-0.02,-1.86,1.61,1.61,1.61,1.61,1.61,1.61
SXTP,20250717 04:51:43.000000,0,1.6,1.6,595,617,637,2606,2749,0,0,0.01,0.61,0.05,3.08,0.05,3.08,0.08,5.55,0.08,5.55,0,0,0.01,0.61,0.05,3.08,0,0,0,0,-0.01,-1.23,-0.01,-1.23,1.62,1.62,1.62,1.62,1.61,1.62
SXTP,20250717 04:54:32.000000,0,1.61,1.61,43,638,660,2295,2724,0,0,0,0.61,0.05,3.68,0.05,3.68,0.08,5.52,0.08,5.52,0,0,0,0.61,0.01,1.22,0,0.61,0,0.61,-0.01,-0.61,-0.01,-0.61,1.63,1.63,1.63,1.63,1.62,1.63
SXTP,20250717 05:01:48.000000,0,1.61,1.61,220,263,880,900,2944,0.05,3.06,0.05,3.06,0.1,6.74,0.1,6.74,0.1,6.74,0.1,6.74,0,0,0,0,0.01,1.22,0.05,3.68,0,0.61,-0.01,-0.61,-0.01,-0.61,1.63,1.63,1.68,1.68,1.63,1.68
SXTP,20250717 05:03:31.000000,0,1.61,1.61,291,291,511,1149,3180,0,0,0,0,0.05,3.68,0.1,6.74,0.1,6.74,0.1,6.74,0,0,0,0,0,0,0,0.61,0.03,2.45,-0.01,-0.61,-0.01,-0.61,1.63,1.63,1.63,1.63,1.63,1.63
SXTP,20250717 05:04:14.000000,0,1.63,1.62,2,293,513,1151,3182,0,0,0.05,2.97,0.05,3.57,0.1,6.54,0.1,6.54,0.1,6.54,0,0,0.05,2.97,0.05,2.97,0.05,3.57,0.08,5.35,0.02,1.19,0.04,2.38,1.68,1.68,1.68,1.68,1.63,1.68
SXTP,20250717 05:06:00.000000,0,1.64,1.62,2,295,295,558,3164,0.04,2.32,0.09,5.23,0.09,5.23,0.14,8.72,0.14,8.72,0.14,8.72,0.04,2.32,0.09,5.23,0.09,5.23,0.09,5.23,0.09,5.81,0.08,4.65,0.08,4.65,1.69,1.68,1.72,1.72,1.63,1.72
SXTP,20250717 05:10:24.000000,0,1.66,1.63,5,300,300,563,2818,0.09,5.23,0.09,5.23,0.09,5.23,0.14,8.72,0.14,8.72,0.14,8.72,0,0,0.09,5.23,0.09,5.23,0.09,5.23,0.09,5.81,0.08,4.65,0.08,4.65,1.63,1.63,1.72,1.72,1.63,1.72
SXTP,20250717 05:14:45.000000,0,1.65,1.63,23,23,323,323,1213,0,0,0,0,0.09,5.52,0.1,6.74,0.14,9.2,0.14,9.2,0,0,0,0,0,0,0,0,0,0.61,0.05,3.68,-0.01,-0.61,1.63,1.63,1.63,1.63,1.63,1.63
SXTP,20250717 05:15:54.000000,0,1.65,1.63,20,43,48,343,1223,0.06,3.68,0.06,3.68,0.09,5.52,0.1,6.74,0.14,9.2,0.14,9.2,0,0,0,0,-0.09,-5.52,0,0,0.01,1.22,0,0,-0.01,-0.61,1.63,1.63,1.69,1.69,1.63,1.69
SXTP,20250717 05:18:05.000000,0,1.65,1.64,30,50,73,373,1253,0.06,3.55,0.06,3.55,0.09,5.32,0.1,6.5,0.14,8.87,0.14,8.87,0.06,3.55,0.06,3.55,0.06,3.55,0.06,3.55,0.07,4.73,0.1,6.5,0.05,2.95,1.69,1.63,1.69,1.69,1.63,1.69
SXTP,20250717 05:19:46.000000,0,1.65,1.64,150,200,223,230,1381,0.05,3.03,0.06,3.63,0.09,5.45,0.09,6.06,0.14,9.09,0.14,9.09,0,0,0.02,1.21,0.02,1.21,-0.07,-4.24,0.02,1.81,0.02,1.81,0.01,0.6,1.64,1.64,1.69,1.69,1.63,1.69
SXTP,20250717 05:23:48.000000,0,1.65,1.64,30,210,253,258,816,0.05,3.03,0.05,3.03,0.09,5.45,0.09,5.45,0.14,9.09,0.14,9.09,0,0,-0.04,-2.42,0.02,1.21,-0.07,-4.24,0.02,1.21,0.02,1.81,0.01,0.6,1.65,1.64,1.65,1.69,1.64,1.69
SXTP,20250717 05:28:39.000000,0,1.65,1.64,1,31,231,254,774,0,0,0,0,0.06,3.63,0.09,5.45,0.14,9.09,0.14,9.09,0,0,0,0,0.02,1.21,0.02,1.21,0.02,1.21,0.02,1.81,0.01,0.6,1.65,1.65,1.65,1.65,1.65,1.65
SXTP,20250717 05:29:02.000000,0,1.64,1.64,21,21,52,252,575,0,0,0,0,0.06,3.68,0.09,5.52,0.14,9.2,0.14,9.2,0,0,0,0,-0.02,-1.22,0,0,0,0,0.04,3.06,-0.01,-0.61,1.63,1.63,1.63,1.63,1.63,1.63
