SymbolId,TradeTime,Index,Size,TotalVolume,Price,ReportingExchange,TradeCondition
SXTP,20250717 04:02:22.327000,41963,3,3,1.64,PACF,12545
SXTP,20250717 04:02:22.327000,41964,20,23,1.64,PACF,12545
SXTP,20250717 04:02:58.182000,51200,7,30,1.64,PACF,12545
SXTP,20250717 04:04:43.256000,79386,10,40,1.66,PACF,12545
SXTP,20250717 04:06:31.390000,100235,3,76,1.64,PACF,12545
SXTP,20250717 04:06:31.390000,100236,80,156,1.64,PACF,12545
SXTP,20250717 04:06:31.390000,100234,33,73,1.64,PACF,12545
SXTP,20250717 04:06:31.399000,100239,20,176,1.64,MEMX,12545
SXTP,20250717 04:06:31.399000,100240,2,178,1.64,MEMX,12545
SXTP,20250717 04:07:15.502000,108114,30,208,1.64,MEMX,12545
SXTP,20250717 04:07:15.791000,108262,2,210,1.64,MEMX,12545
SXTP,20250717 04:07:23.884000,109731,2,212,1.64,MEMX,12545
SXTP,20250717 04:07:33.125000,111479,30,242,1.64,NQEX,12545
SXTP,20250717 04:07:33.937000,111656,2,244,1.63,EDGX,12545
SXTP,20250717 04:07:53.212000,115054,20,264,1.63,NQEX,12545
SXTP,20250717 04:08:24.067000,120808,127,391,1.63,PACF,12545
SXTP,20250717 04:09:50.202000,134556,12,411,1.63,PACF,12545
SXTP,20250717 04:09:50.202000,134554,7,398,1.63,NQEX,12545
SXTP,20250717 04:09:50.202000,134555,1,399,1.63,PACF,12545
SXTP,20250717 04:10:03.071000,136645,16,1227,1.61,EDGX,12545
SXTP,20250717 04:10:03.071000,136644,800,1211,1.62,EDGX,12545
SXTP,20250717 04:10:03.073000,136647,100,1461,1.59,PACF,12545
SXTP,20250717 04:10:03.073000,136646,134,1361,1.6,PACF,12545
SXTP,20250717 04:10:03.080000,136648,50,1511,1.58,MEMX,12545
SXTP,20250717 04:10:08.547000,137588,600,2111,1.58,MEMX,12545
SXTP,20250717 04:11:46.345000,153750,20,2131,1.58,EDGX,12545
SXTP,20250717 04:11:46.345000,153751,75,2206,1.57,EDGX,12545
SXTP,20250717 04:15:35.298000,188508,600,4188,1.63,PACF,12545
SXTP,20250717 04:15:35.298000,188507,20,3588,1.63,PACF,12545
SXTP,20250717 04:15:35.298000,188506,16,3568,1.63,PACF,12545
SXTP,20250717 04:15:35.298000,188505,1346,3552,1.63,PACF,12545
SXTP,20250717 04:16:50.628000,201330,788,4976,1.62,PACF,12545
SXTP,20250717 04:16:50.628000,201331,100,5076,1.58,PACF,12545
SXTP,20250717 04:18:19.175000,216412,12,5088,1.58,PACF,12545
SXTP,20250717 04:18:20.727000,216604,100,5188,1.58,PACF,12545
SXTP,20250717 04:18:32.828000,218442,1,5189,1.58,EDGX,12545
SXTP,20250717 04:20:19.144000,233662,30,5219,1.58,NQEX,12545
SXTP,20250717 04:20:19.146000,233663,2,5221,1.58,EDGX,12545
SXTP,20250717 04:20:19.622000,233734,2,5223,1.58,PACF,12545
SXTP,20250717 04:20:19.742000,233738,27,5250,1.58,PACF,12545
SXTP,20250717 04:20:22.419000,234053,1,5251,1.59,NQEX,12545
SXTP,20250717 04:20:32.656000,235194,1,5252,1.62,PACF,12545
SXTP,20250717 04:20:59.733000,239604,5,5257,1.62,NQEX,12545
SXTP,20250717 04:26:37.307000,307206,22,5279,1.62,PACF,12545
SXTP,20250717 04:27:32.713000,314007,10,5289,1.61,PACF,12545
SXTP,20250717 04:28:11.197000,319159,1,5290,1.59,PACF,12545
SXTP,20250717 04:28:19.064000,320301,11,5301,1.61,PACF,12545
SXTP,20250717 04:30:00.932000,335547,10,5311,1.61,PACF,12545
SXTP,20250717 04:30:29.556000,339990,1,5312,1.58,PACF,12545
SXTP,20250717 04:34:49.799000,380574,10,5322,1.59,PACF,12545
SXTP,20250717 04:34:55.281000,381781,10,5332,1.59,PACF,12545
SXTP,20250717 04:35:04.137000,383525,10,5342,1.59,PACF,12545
SXTP,20250717 04:35:15.337000,385339,130,5472,1.6,PACF,12545
SXTP,20250717 04:35:16.880000,385479,1,5473,1.58,PACF,12545
SXTP,20250717 04:35:27.878000,387063,10,5483,1.6,PACF,12545
SXTP,20250717 04:35:31.086000,387549,44,5527,1.6,PACF,12545
SXTP,20250717 04:35:31.088000,387550,20,5547,1.61,PACF,12545
SXTP,20250717 04:35:31.090000,387551,136,5683,1.62,PACF,12545
SXTP,20250717 04:36:14.712000,396215,3,5686,1.62,PACF,12545
SXTP,20250717 04:38:41.511000,420512,10,5696,1.62,PACF,12545
SXTP,20250717 04:39:02.820000,422899,10,5706,1.62,PACF,12545
SXTP,20250717 04:39:05.421000,423363,100,5926,1.59,PACF,12545
SXTP,20250717 04:39:05.421000,423364,18,5944,1.58,PACF,12545
SXTP,20250717 04:39:05.421000,423362,120,5826,1.59,PACF,12545
SXTP,20250717 04:39:05.421000,423367,200,6213,1.58,EDGX,12545
SXTP,20250717 04:39:05.421000,423368,998,7211,1.57,PACF,12545
SXTP,20250717 04:39:05.421000,423366,2,6013,1.58,EDGX,12545
SXTP,20250717 04:39:05.421000,423365,67,6011,1.57,PACF,12545
SXTP,20250717 04:39:14.875000,424560,10,7221,1.57,PACF,12545
SXTP,20250717 04:39:21.089000,425108,10,7231,1.57,PACF,12545
SXTP,20250717 04:39:26.852000,425758,10,7241,1.57,PACF,12545
SXTP,20250717 04:39:32.064000,426290,10,7251,1.57,PACF,12545
SXTP,20250717 04:39:37.195000,426863,10,7261,1.57,PACF,12545
SXTP,20250717 04:39:42.847000,427439,10,7271,1.57,PACF,12545
SXTP,20250717 04:39:48.386000,428156,10,7281,1.57,PACF,12545
SXTP,20250717 04:39:53.294000,428771,10,7291,1.57,PACF,12545
SXTP,20250717 04:39:57.811000,429359,10,7301,1.57,PACF,12545
SXTP,20250717 04:40:02.693000,429756,6,7311,1.61,PACF,12545
SXTP,20250717 04:40:02.693000,429755,4,7305,1.57,PACF,12545
SXTP,20250717 04:41:37.281000,442979,10,7321,1.62,PACF,12545
SXTP,20250717 04:46:33.223000,477776,22,7343,1.61,PACF,12545
SXTP,20250717 04:49:45.027000,506691,41,7384,1.62,NQEX,12545
SXTP,20250717 04:49:45.027000,506692,35,7419,1.62,MEMX,12545
SXTP,20250717 04:49:45.027000,506693,432,7851,1.62,PACF,12545
SXTP,20250717 04:49:45.027000,506694,1,7852,1.62,PACF,12545
SXTP,20250717 04:49:45.027000,506695,46,7898,1.62,PACF,12545
SXTP,20250717 04:49:45.027000,506696,40,7938,1.62,PACF,12545
SXTP,20250717 04:51:42.454000,521393,3,7941,1.63,PACF,12545
SXTP,20250717 04:51:42.454000,521394,40,7981,1.63,NQEX,12545
SXTP,20250717 04:54:31.762000,542315,20,8001,1.68,PACF,12545
SXTP,20250717 04:54:53.147000,544836,6,8007,1.63,PACF,12545
SXTP,20250717 04:54:53.147000,544837,10,8017,1.63,PACF,12545
SXTP,20250717 04:54:53.147000,544838,84,8101,1.63,PACF,12545
SXTP,20250717 04:54:53.150000,544841,20,8192,1.63,PACF,12545
SXTP,20250717 04:54:53.150000,544840,5,8172,1.63,PACF,12545
SXTP,20250717 04:54:53.150000,544839,66,8167,1.63,PACF,12545
SXTP,20250717 04:54:53.153000,544842,9,8201,1.63,PACF,12545
SXTP,20250717 05:01:47.914000,602046,291,8492,1.63,NQEX,12545
SXTP,20250717 05:03:30.190000,614884,2,8494,1.68,PACF,12545
SXTP,20250717 05:04:13.729000,619531,1,8495,1.69,PACF,12545
SXTP,20250717 05:04:26.383000,621125,1,8496,1.72,PACF,12545
SXTP,20250717 05:05:59.003000,634375,1,8497,1.68,EDGX,12545
SXTP,20250717 05:05:59.003000,634377,1,8499,1.63,EDGX,12545
SXTP,20250717 05:05:59.003000,634376,1,8498,1.67,EDGX,12545
SXTP,20250717 05:05:59.003000,634378,1,8500,1.7,NQEX,12545
SXTP,20250717 05:05:59.003000,634379,1,8501,1.72,BATS,12545
SXTP,20250717 05:10:23.797000,663569,23,8524,1.63,PACF,12545
SXTP,20250717 05:14:44.034000,691243,1,8525,1.69,MEMX,12545
SXTP,20250717 05:14:44.036000,691244,19,8544,1.63,PACF,12545
SXTP,20250717 05:15:53.479000,698251,30,8574,1.69,PACF,12545
SXTP,20250717 05:18:04.762000,711497,90,8664,1.69,PACF,12545
SXTP,20250717 05:18:56.411000,716111,1,8665,1.64,PACF,12545
SXTP,20250717 05:18:56.411000,716112,59,8724,1.65,EDGX,12545
SXTP,20250717 05:19:45.718000,720720,30,8754,1.65,EDGX,12545
SXTP,20250717 05:23:47.302000,742905,1,8755,1.65,EDGX,12545
SXTP,20250717 05:28:38.446000,777459,21,8776,1.63,PACF,12545
SXTP,20250717 05:29:01.379000,779654,144,8920,1.6,PACF,12545
SXTP,20250717 05:29:01.380000,779655,31,8951,1.6,EDGX,12545
SXTP,20250717 05:29:02.284000,779703,29,8980,1.6,EDGX,12545
SXTP,20250717 05:29:02.285000,779704,121,9101,1.6,PACF,12545
SXTP,20250717 05:29:09.036000,780568,29,9282,1.59,PACF,12545
SXTP,20250717 05:29:09.036000,780567,31,9253,1.59,PACF,12545
SXTP,20250717 05:29:09.036000,780566,121,9222,1.59,PACF,12545
SXTP,20250717 05:29:16.248000,781381,121,9438,1.58,PACF,12545
SXTP,20250717 05:29:16.248000,781380,10,9317,1.58,PACF,12545
SXTP,20250717 05:29:16.248000,781379,15,9307,1.58,PACF,12545
SXTP,20250717 05:29:16.248000,781383,5,9697,1.58,EDGX,12545
SXTP,20250717 05:29:16.248000,781378,10,9292,1.58,PACF,12545
SXTP,20250717 05:29:16.248000,781384,10,9707,1.58,EDGX,12545
SXTP,20250717 05:29:16.248000,781382,254,9692,1.58,PACF,12545
SXTP,20250717 05:29:17.488000,781565,25,9732,1.58,PACF,12545
SXTP,20250717 05:29:23.614000,782236,331,10063,1.57,PACF,12545
SXTP,20250717 05:31:06.046000,794279,20,10083,1.59,PACF,12545
SXTP,20250717 05:31:06.046000,794280,203,10286,1.58,PACF,12545
SXTP,20250717 05:34:57.851000,817265,1,10290,1.59,EDGX,12545
SXTP,20250717 05:34:57.851000,817267,200,10590,1.58,EDGX,12545
SXTP,20250717 05:34:57.851000,817268,400,10990,1.58,EDGX,12545
SXTP,20250717 05:34:57.851000,817266,100,10390,1.58,EDGX,12545
SXTP,20250717 05:34:57.851000,817264,1,10289,1.59,EDGX,12545
SXTP,20250717 05:34:57.851000,817263,2,10288,1.59,EDGX,12545
SXTP,20250717 05:34:57.852000,817269,48,11038,1.58,PACF,12545
SXTP,20250717 05:34:57.852000,817271,104,11157,1.58,PACF,12545
SXTP,20250717 05:34:57.852000,817270,15,11053,1.58,PACF,12545
SXTP,20250717 05:41:06.314000,850768,3,11160,1.59,EDGX,12545
SXTP,20250717 05:41:12.988000,851363,600,11760,1.59,EDGX,12545
SXTP,20250717 05:41:14.937000,851468,100,11860,1.59,PACF,12545
SXTP,20250717 05:50:09.087000,892296,5,11865,1.59,EDGX,12545
SXTP,20250717 05:50:42.636000,894888,4,11869,1.59,EDGX,12545
SXTP,20250717 05:51:27.044000,897913,49,11918,1.59,PACF,12545
SXTP,20250717 05:52:45.038000,903715,1,11919,1.63,EDGX,12545
SXTP,20250717 05:53:03.715000,905113,199,12118,1.63,EDGX,12545
SXTP,20250717 05:53:03.716000,905115,180,12498,1.63,PACF,12545
SXTP,20250717 05:53:03.716000,905114,200,12318,1.63,PACF,12545
SXTP,20250717 06:14:33.349000,1039794,40,12598,1.62,PACF,12545
SXTP,20250717 06:14:33.349000,1039793,60,12558,1.63,PACF,12545
SXTP,20250717 06:14:45.365000,1040528,99,12697,1.62,NQEX,12545
SXTP,20250717 06:17:36.140000,1057464,1,12698,1.62,EDGX,12545
SXTP,20250717 06:17:38.951000,1058214,198,12896,1.62,EDGX,12545
SXTP,20250717 06:18:26.740000,1066053,1,12897,1.62,PACF,12545
SXTP,20250717 06:18:26.740000,1066054,59,12956,1.62,PACF,12545
SXTP,20250717 06:21:26.534000,1098461,356,13312,1.62,PACF,12545
SXTP,20250717 06:23:48.065000,1119383,10,13322,1.62,MEMX,12545
SXTP,20250717 06:27:42.335000,1156797,44,13366,1.63,PACF,12545
SXTP,20250717 06:27:42.337000,1156798,25,13391,1.63,PACF,12545
SXTP,20250717 06:28:33.628000,1163209,31,13422,1.63,PACF,12545
SXTP,20250717 06:28:33.628000,1163210,18,13440,1.62,PACF,12545
SXTP,20250717 06:28:33.631000,1163211,13,13453,1.63,PACF,12545
SXTP,20250717 06:28:58.523000,1165669,10,13476,1.63,PACF,12545
SXTP,20250717 06:28:58.523000,1165671,1,13546,1.62,PACF,12545
SXTP,20250717 06:28:58.523000,1165672,10,13556,1.62,PACF,12545
SXTP,20250717 06:28:58.523000,1165668,13,13466,1.63,PACF,12545
SXTP,20250717 06:28:58.523000,1165670,69,13545,1.62,PACF,12545
SXTP,20250717 06:28:58.523000,1165673,1,13557,1.62,PACF,12545
SXTP,20250717 06:29:45.704000,1171206,64,13621,1.62,PACF,12545
SXTP,20250717 06:32:33.745000,1189833,50,13671,1.62,PACF,12545
SXTP,20250717 06:33:13.602000,1192824,100,13771,1.62,PACF,12545
SXTP,20250717 06:33:32.408000,1194218,358,14129,1.62,PACF,12545
SXTP,20250717 06:33:32.410000,1194219,5,14134,1.61,PACF,12545
SXTP,20250717 06:33:32.418000,1194220,95,14229,1.6,BATS,12545
SXTP,20250717 06:33:53.886000,1197577,205,15296,1.6,BATS,12545
SXTP,20250717 06:33:53.886000,1197576,862,15091,1.59,PACF,12545
SXTP,20250717 06:33:54.954000,1197906,100,15396,1.61,MEMX,12545
SXTP,20250717 06:34:13.456000,1200405,100,15496,1.61,MEMX,12545
SXTP,20250717 06:34:13.456000,1200406,100,15596,1.61,MEMX,12545
SXTP,20250717 06:39:44.778000,1239620,20,15616,1.6,EDGX,12545
SXTP,20250717 06:39:44.779000,1239621,8,15624,1.59,PACF,12545
SXTP,20250717 06:39:44.783000,1239622,10,15634,1.62,PACF,12545
SXTP,20250717 06:39:46.942000,1240104,1,15635,1.62,PACF,12545
SXTP,20250717 06:39:57.566000,1241667,9,15644,1.62,PACF,12545
SXTP,20250717 06:40:48.636000,1250000,10,15654,1.59,PACF,12545
SXTP,20250717 06:41:52.156000,1258375,2,15656,1.62,PACF,12545
SXTP,20250717 06:41:55.517000,1258741,5,15661,1.62,PACF,12545
SXTP,20250717 06:45:40.376000,1292081,10,15671,1.59,PACF,12545
SXTP,20250717 06:45:40.378000,1292082,10,15681,1.62,PACF,12545
SXTP,20250717 06:52:23.559000,1347468,10,15691,1.62,PACF,12545
SXTP,20250717 06:57:27.421000,1388975,20,15711,1.62,PACF,12545
SXTP,20250717 06:59:30.393000,1405711,1,15712,1.62,PACF,12545
SXTP,20250717 07:00:00.108000,1412742,10,15722,1.62,PACF,12545
SXTP,20250717 07:00:07.624000,1423808,5,15727,1.63,PACF,12545
SXTP,20250717 07:00:55.230000,1443503,1,15729,1.64,PACF,12545
SXTP,20250717 07:00:55.230000,1443502,1,15728,1.67,NQEX,12545
SXTP,20250717 07:01:41.398000,1460120,1,15730,1.64,PACF,12545
SXTP,20250717 07:02:34.444000,1473098,10,15740,1.68,PACF,12545
SXTP,20250717 07:03:18.642000,1481874,32,15772,1.66,PACF,12545
SXTP,20250717 07:03:18.642000,1481875,4,15776,1.67,PACF,12545
SXTP,20250717 07:03:18.643000,1481877,5,15808,1.67,PACF,12545
SXTP,20250717 07:03:18.643000,1481876,27,15803,1.67,PACF,12545
SXTP,20250717 07:03:28.435000,1483939,12,15840,1.67,PACF,12545
SXTP,20250717 07:03:28.435000,1483938,20,15828,1.66,PACF,12545
SXTP,20250717 07:03:56.626000,1491034,1,15841,1.68,PACF,12545
SXTP,20250717 07:04:27.438000,1500599,1,15842,1.67,NQEX,12545
SXTP,20250717 07:04:34.730000,1502843,100,15942,1.65,PACF,12545
SXTP,20250717 07:04:37.920000,1503698,1,15943,1.63,EDGX,12545
SXTP,20250717 07:04:39.165000,1504079,310,16253,1.66,PACF,12545
SXTP,20250717 07:05:30.167000,1517455,24,16277,1.63,NQEX,12545
SXTP,20250717 07:06:27.094000,1530890,1,16278,1.63,PACF,12545
SXTP,20250717 07:08:23.580000,1558014,55,16334,1.65,NQEX,12545
SXTP,20250717 07:08:23.580000,1558013,1,16279,1.63,PACF,12545
SXTP,20250717 07:08:44.453000,1564701,44,16378,1.65,NQEX,12545
SXTP,20250717 07:08:44.453000,1564702,56,16434,1.66,NQEX,12545
SXTP,20250717 07:08:44.453000,1564705,56,16734,1.66,PACF,12545
SXTP,20250717 07:08:44.453000,1564703,200,16634,1.65,PACF,12545
SXTP,20250717 07:08:44.453000,1564704,44,16678,1.65,PACF,12545
SXTP,20250717 07:08:44.454000,1564706,244,16978,1.66,PACF,12545
SXTP,20250717 07:08:44.454000,1564707,44,17022,1.66,NQEX,12545
SXTP,20250717 07:08:44.455000,1564708,29,17051,1.67,PACF,12545
SXTP,20250717 07:08:47.378000,1566160,1268,18334,1.68,EDGX,12545
SXTP,20250717 07:08:47.378000,1566159,15,17066,1.68,EDGX,12545
SXTP,20250717 07:12:05.802000,1615120,1,18335,1.68,NQEX,12545
SXTP,20250717 07:12:12.477000,1616079,1,18336,1.68,NQEX,12545
SXTP,20250717 07:14:39.880000,1646750,88,18424,1.65,PACF,12545
SXTP,20250717 07:14:39.880000,1646751,412,18836,1.66,PACF,12545
SXTP,20250717 07:14:41.094000,1647151,500,19336,1.66,PACF,12545
SXTP,20250717 07:15:23.466000,1655382,7,19346,1.67,PACF,12545
SXTP,20250717 07:15:23.466000,1655381,3,19339,1.67,PACF,12545
SXTP,20250717 07:15:57.039000,1659599,7,19356,1.68,PACF,12545
SXTP,20250717 07:15:57.039000,1659598,3,19349,1.68,PACF,12545
SXTP,20250717 07:16:27.487000,1663994,20,19376,1.68,PACF,12545
SXTP,20250717 07:17:02.628000,1669298,400,19776,1.68,PACF,12545
SXTP,20250717 07:21:20.749000,1703725,26,19802,1.66,BATS,12545
SXTP,20250717 07:22:40.826000,1714493,100,19902,1.66,PACF,12545
SXTP,20250717 07:27:04.820000,1757601,1,19903,1.65,PACF,12545
SXTP,20250717 07:28:58.818000,1773546,2,19905,1.65,PACF,12545
SXTP,20250717 07:32:13.035000,1802648,1,19906,1.67,PACF,12545
SXTP,20250717 07:32:13.035000,1802649,54,19960,1.67,PACF,12545
SXTP,20250717 07:42:53.164000,1927089,200,20246,1.67,PACF,12545
SXTP,20250717 07:42:53.164000,1927088,86,20046,1.67,PACF,12545
SXTP,20250717 07:42:53.165000,1927091,7,20311,1.68,PACF,12545
SXTP,20250717 07:42:53.165000,1927093,314,20646,1.68,PACF,12545
SXTP,20250717 07:42:53.165000,1927092,21,20332,1.68,PACF,12545
SXTP,20250717 07:42:53.165000,1927090,58,20304,1.68,PACF,12545
SXTP,20250717 07:42:53.166000,1927095,72,20742,1.66,PACF,12545
SXTP,20250717 07:42:53.166000,1927094,24,20670,1.66,PACF,12545
SXTP,20250717 07:49:26.087000,1981918,148,20890,1.68,PACF,12545
SXTP,20250717 07:50:46.994000,1990738,1,20891,1.68,PACF,12545
SXTP,20250717 07:56:48.155000,2040708,15,20906,1.68,PACF,12545
SXTP,20250717 08:00:00.105000,2070089,296,21202,1.64,NQNX,12545
