SymbolId,CurrentTime,Index,MarketConditionId,MarketConditionValue
T,20250717 09:31:17.000000,0,UGP50,True
T,20250717 09:31:19.000000,0,UGP50,True
T,20250717 09:31:20.000000,0,UGP50,True
T,20250717 09:31:21.000000,0,UGP50,True
T,20250717 09:31:22.000000,0,UGP50,True
T,20250717 09:31:23.000000,0,UGP50,True
T,20250717 09:31:41.000000,0,UGP50,True
T,20250717 09:31:56.000000,0,PDH_PMH_REV_PMH,True
T,20250717 09:31:56.000000,0,PDH_PMH_REV,True
T,20250717 09:32:01.000000,0,PML_REV,True
T,20250717 09:40:51.000000,0,LONG_Engulf5,True
T,20250717 09:52:18.000000,0,PDH_PMH_REV_PMH,True
T,20250717 09:52:18.000000,0,PDH_PMH_REV,True
T,20250717 09:53:07.000000,0,UGP50,True
T,20250717 09:53:10.000000,0,UGP50,True
T,20250717 09:53:14.000000,0,UGP50,True
T,20250717 09:53:17.000000,0,UGP50,True
T,20250717 09:53:57.000000,0,UGP50,True
T,20250717 09:55:46.000000,0,UGP50,True
T,20250717 09:55:52.000000,0,UGP50,True
T,20250717 09:56:14.000000,0,UGP50,True
T,20250717 09:56:41.000000,0,UGP50,True
T,20250717 09:56:51.000000,0,UGP50,True
T,20250717 09:57:03.000000,0,UGP50,True
T,20250717 09:57:26.000000,0,UGP50,True
T,20250717 09:57:28.000000,0,UGP50,True
T,20250717 09:57:55.000000,0,UGP50,True
T,20250717 09:58:44.000000,0,UGP50,True
T,20250717 09:58:57.000000,0,UGP50,True
T,20250717 09:59:06.000000,0,UGP50,True
T,20250717 10:03:14.000000,0,UGP50,True
T,20250717 10:03:22.000000,0,UGP50,True
T,20250717 10:03:24.000000,0,UGP50,True
T,20250717 10:03:29.000000,0,UGP50,True
T,20250717 10:03:37.000000,0,UGP50,True
T,20250717 10:03:40.000000,0,UGP50,True
T,20250717 10:05:32.000000,0,UGP50,True
T,20250717 10:06:54.000000,0,UGP50,True
T,20250717 10:06:57.000000,0,UGP50,True
T,20250717 10:07:12.000000,0,UGP50,True
T,20250717 10:07:21.000000,0,UGP50,True
T,20250717 10:07:30.000000,0,UGP50,True
T,20250717 10:07:42.000000,0,UGP50,True
T,20250717 10:07:51.000000,0,UGP50,True
T,20250717 10:07:53.000000,0,UGP50,True
T,20250717 10:08:03.000000,0,UGP50,True
T,20250717 10:08:05.000000,0,UGP50,True
T,20250717 10:08:10.000000,0,UGP50,True
T,20250717 10:08:15.000000,0,UGP50,True
T,20250717 10:08:20.000000,0,UGP50,True
T,20250717 10:08:26.000000,0,UGP50,True
T,20250717 10:09:06.000000,0,UGP50,True
T,20250717 10:09:09.000000,0,UGP50,True
T,20250717 10:09:11.000000,0,UGP50,True
T,20250717 10:09:13.000000,0,UGP50,True
T,20250717 10:09:15.000000,0,UGP50,True
T,20250717 10:09:57.000000,0,UGP50,True
T,20250717 10:10:03.000000,0,UGP50,True
T,20250717 10:11:16.000000,0,UGP50,True
T,20250717 10:12:33.000000,0,UGP50,True
T,20250717 10:13:07.000000,0,UGP50,True
T,20250717 10:14:04.000000,0,UGP50,True
T,20250717 10:14:08.000000,0,UGP50,True
T,20250717 10:23:46.000000,0,UGP50,True
T,20250717 10:23:50.000000,0,UGP50,True
T,20250717 10:24:02.000000,0,UGP50,True
T,20250717 10:24:05.000000,0,UGP50,True
T,20250717 10:24:08.000000,0,UGP50,True
T,20250717 10:24:10.000000,0,UGP50,True
T,20250717 10:24:28.000000,0,UGP50,True
T,20250717 10:24:31.000000,0,UGP50,True
