SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
T,20250717 04:01:03.000000,0,26.91,26.91,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.91,26.91,26.91,26.91,26.91,26.91
T,20250717 04:02:02.000000,0,26.91,26.91,503,504,504,504,504,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,26.91,26.91,26.92,26.92,26.91,26.92
T,20250717 04:03:13.000000,0,26.91,26.91,207,711,711,711,711,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0,0,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,26.91,26.91,26.92,26.92,26.91,26.92
T,20250717 04:04:29.000000,0,26.91,26.91,38,749,749,749,749,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0,0,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,26.91,26.91,26.92,26.92,26.91,26.92
T,20250717 04:06:13.000000,0,26.91,26.91,2,751,751,751,751,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0,0,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,26.92,26.91,26.92,26.92,26.91,26.92
T,20250717 04:07:18.000000,0,26.91,26.91,5,252,756,756,756,0,0,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0,0,-0.01,-0.03,0,0,0,0,0,0,0,0,0,0,26.91,26.91,26.91,26.91,26.91,26.92
T,20250717 04:10:08.000000,0,26.92,26.91,2672,2717,3428,3428,3428,0.03,0.14,0.03,0.14,0.03,0.14,0.03,0.14,0.03,0.14,0.03,0.14,0.03,0.14,0.02,0.11,0.03,0.14,0.03,0.14,0.03,0.14,0.03,0.14,0.03,0.14,26.91,26.91,26.95,26.95,26.91,26.95
T,20250717 04:12:50.000000,0,26.92,26.91,25,2702,3452,3453,3453,0,0,0.03,0.14,0.03,0.14,0.03,0.14,0.03,0.14,0.03,0.14,0,0,0.03,0.14,0.02,0.11,0.03,0.14,0.03,0.14,0.03,0.14,0.03,0.14,26.95,26.95,26.95,26.95,26.91,26.95
T,20250717 04:13:18.000000,0,26.93,26.92,1,26,2743,3454,3454,0,0,0.01,0.03,0.05,0.18,0.05,0.18,0.05,0.18,0.05,0.18,0,0,0.01,0.03,0.03,0.14,0.05,0.18,0.05,0.18,0.05,0.18,0.05,0.18,26.96,26.96,26.96,26.96,26.95,26.96
T,20250717 04:18:23.000000,0,26.93,26.92,817,843,3522,4271,4271,0.01,0.03,0.01,0.03,0.05,0.18,0.05,0.18,0.05,0.18,0.05,0.18,-0.01,-0.03,0,0,0.02,0.11,0.03,0.14,0.03,0.14,0.03,0.14,0.03,0.14,26.95,26.95,26.95,26.96,26.95,26.96
