SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
T, 20250717 04:00:43.000000,502,1,26.91,26.91,26.91,26.91,1,26.91
T, 20250717 04:01:02.000000,582,1,26.91,26.91,26.91,26.91,3,26.91
T, 20250717 04:01:09.000000,599,1,26.91,26.91,26.91,26.91,2,26.91
T, 20250717 04:01:11.000000,671,1,26.91,26.91,26.91,26.91,1,26.91
T, 20250717 04:01:18.000000,714,1,26.91,26.91,26.91,26.91,1,26.91
T, 20250717 04:01:21.000000,752,1,26.91,26.91,26.91,26.91,72,26.91
T, 20250717 04:01:24.000000,766,1,26.92,26.92,26.92,26.92,194,26.92
T, 20250717 04:01:26.000000,797,1,26.92,26.92,26.92,26.92,96,26.92
T, 20250717 04:01:28.000000,869,1,26.92,26.92,26.92,26.92,53,26.92
T, 20250717 04:01:33.000000,928,1,26.92,26.92,26.92,26.92,5,26.92
T, 20250717 04:01:38.000000,960,1,26.92,26.92,26.92,26.92,19,26.92
T, 20250717 04:01:41.000000,1039,1,26.92,26.92,26.92,26.92,1,26.92
T, 20250717 04:01:49.000000,1136,1,26.92,26.92,26.92,26.92,30,26.92
T, 20250717 04:01:59.000000,1158,1,26.92,26.92,26.92,26.92,26,26.92
T, 20250717 04:02:01.000000,1251,1,26.92,26.92,26.92,26.92,2,26.92
T, 20250717 04:02:10.000000,1264,1,26.92,26.92,26.92,26.92,2,26.92
T, 20250717 04:02:11.000000,1305,1,26.92,26.92,26.92,26.92,11,26.92
T, 20250717 04:02:15.000000,1359,1,26.92,26.92,26.92,26.92,60,26.92
T, 20250717 04:02:19.000000,1383,1,26.92,26.92,26.92,26.92,1,26.92
T, 20250717 04:02:21.000000,1393,1,26.92,26.92,26.92,26.92,1,26.92
T, 20250717 04:02:22.000000,1477,1,26.92,26.92,26.92,26.92,3,26.92
T, 20250717 04:02:31.000000,1599,1,26.91,26.91,26.91,26.91,115,26.91
T, 20250717 04:02:42.000000,1908,1,26.92,26.92,26.92,26.92,12,26.92
T, 20250717 04:03:12.000000,2012,1,26.92,26.92,26.92,26.92,1,26.92
T, 20250717 04:03:22.000000,2076,1,26.92,26.92,26.92,26.92,20,26.92
T, 20250717 04:03:27.000000,2214,1,26.91,26.91,26.91,26.91,13,26.91
T, 20250717 04:03:39.000000,2274,1,26.92,26.92,26.92,26.92,2,26.92
T, 20250717 04:03:44.000000,2706,1,26.92,26.92,26.92,26.92,2,26.92
T, 20250717 04:04:28.000000,2810,1,26.92,26.92,26.92,26.92,1,26.92
T, 20250717 04:04:37.000000,3441,1,26.92,26.92,26.92,26.92,1,26.92
T, 20250717 04:06:12.000000,3802,1,26.91,26.91,26.91,26.91,5,26.91
T, 20250717 04:07:17.000000,3863,1,26.92,26.92,26.92,26.92,59,26.92
T, 20250717 04:07:29.000000,4737,1,26.91,26.95,26.91,26.95,2613,26.93
T, 20250717 04:10:07.000000,4843,1,26.95,26.95,26.95,26.95,22,26.95
T, 20250717 04:10:28.000000,4874,1,26.95,26.95,26.95,26.95,2,26.95
T, 20250717 04:10:35.000000,5469,1,26.95,26.95,26.95,26.95,1,26.95
T, 20250717 04:12:49.000000,5599,1,26.96,26.96,26.96,26.96,1,26.96
T, 20250717 04:13:17.000000,5613,1,26.95,26.95,26.95,26.95,21,26.95
T, 20250717 04:13:20.000000,5625,1,26.95,26.95,26.95,26.95,120,26.95
T, 20250717 04:13:23.000000,5766,1,26.95,26.95,26.95,26.95,1,26.95
T, 20250717 04:13:53.000000,6894,1,26.95,26.95,26.95,26.95,675,26.95
T, 20250717 04:18:22.000000,7086,1,26.95,26.95,26.95,26.95,11,26.95
T, 20250717 04:19:14.000000,7175,1,26.95,26.95,26.95,26.95,1,26.95
T, 20250717 04:19:36.000000,7291,1,26.95,26.95,26.94,26.94,3,26.94
T, 20250717 04:20:06.000000,7542,1,26.95,26.95,26.95,26.95,1,26.95
T, 20250717 04:21:14.000000,8097,1,26.96,26.96,26.96,26.96,1,26.96
T, 20250717 04:23:54.000000,8140,1,26.95,26.95,26.95,26.95,10,26.95
T, 20250717 04:24:08.000000,8227,1,26.95,26.95,26.95,26.95,196,26.95
T, 20250717 04:24:32.000000,8307,1,26.95,26.95,26.95,26.95,351,26.95
T, 20250717 04:24:52.000000,9023,1,26.96,26.96,26.96,26.96,1,26.96
T, 20250717 04:28:31.000000,9041,1,26.96,26.96,26.96,26.96,2,26.96
T, 20250717 04:28:36.000000,9305,1,26.95,26.95,26.95,26.95,2,26.95
T, 20250717 04:30:00.000000,9942,1,26.95,26.95,26.95,26.95,51,26.95
T, 20250717 04:32:57.000000,10006,1,26.96,26.96,26.96,26.96,200,26.96
T, 20250717 04:33:18.000000,10020,1,26.96,26.96,26.96,26.96,2,26.96
T, 20250717 04:33:23.000000,10062,1,26.95,26.95,26.95,26.95,2,26.95
T, 20250717 04:33:35.000000,10168,1,26.94,26.95,26.94,26.95,5,26.95
T, 20250717 04:34:04.000000,10476,1,26.95,26.95,26.95,26.95,52,26.95
T, 20250717 04:35:37.000000,10777,1,26.96,26.96,26.96,26.96,2,26.96
T, 20250717 04:37:08.000000,10951,1,26.96,26.96,26.96,26.96,1,26.96
T, 20250717 04:38:00.000000,11114,1,26.96,26.96,26.96,26.96,3,26.96
T, 20250717 04:38:52.000000,11192,1,26.96,26.96,26.96,26.96,1,26.96
T, 20250717 04:39:15.000000,11199,1,26.96,26.96,26.96,26.96,13,26.96
T, 20250717 04:39:17.000000,11320,1,26.96,26.96,26.96,26.96,1,26.96
T, 20250717 04:39:52.000000,11629,1,26.96,26.96,26.96,26.96,7,26.96
T, 20250717 04:41:14.000000,11632,1,26.95,26.95,26.95,26.95,175,26.95
T, 20250717 04:41:15.000000,11853,1,26.95,26.95,26.95,26.95,199,26.95
T, 20250717 04:42:26.000000,12185,1,26.95,26.95,26.95,26.95,2,26.95
T, 20250717 04:44:07.000000,12635,1,26.94,26.94,26.94,26.94,4,26.94
T, 20250717 04:46:12.000000,12926,1,26.95,26.95,26.95,26.95,1,26.95
T, 20250717 04:47:29.000000,12991,1,26.96,26.96,26.96,26.96,1,26.96
T, 20250717 04:47:54.000000,13684,1,26.96,26.96,26.96,26.96,5,26.96
T, 20250717 04:51:50.000000,13704,1,26.96,26.96,26.96,26.96,1,26.96
T, 20250717 04:51:56.000000,13906,1,26.94,26.94,26.94,26.94,1,26.94
T, 20250717 04:53:10.000000,13950,1,26.96,26.96,26.96,26.96,2,26.96
T, 20250717 04:53:22.000000,13972,1,26.94,26.94,26.94,26.94,2,26.94
T, 20250717 04:53:29.000000,14437,1,26.96,26.96,26.96,26.96,1,26.96
T, 20250717 04:56:24.000000,14506,1,26.95,26.95,26.95,26.95,1,26.95
T, 20250717 04:56:46.000000,14751,1,26.96,26.96,26.96,26.96,100,26.96
T, 20250717 04:58:05.000000,14846,1,26.95,26.95,26.95,26.95,3,26.95
