SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
TLRY,20250717 04:01:36.000000,0,0.61,0.61,55,55,55,55,55,0.01,1.63,0.01,1.63,0.01,1.63,0.01,1.63,0.01,1.63,0.01,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.61,0.61,0.6,0.61
TLRY,20250717 04:02:40.000000,0,0.61,0.61,100,155,155,155,155,0.01,1.63,0.01,1.63,0.01,1.63,0.01,1.63,0.01,1.63,0.01,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0.6,0.61,0.61,0.6,0.61
TLRY,20250717 04:03:30.000000,0,0.6,0.6,311,466,466,466,466,0.01,1.66,0.01,1.66,0.01,1.66,0.01,1.66,0.01,1.66,0.01,1.66,-0.01,-1.66,-0.01,-1.66,-0.01,-1.66,-0.01,-1.66,-0.01,-1.66,-0.01,-1.66,-0.01,-1.66,0.6,0.6,0.61,0.61,0.6,0.61
TLRY,20250717 04:04:32.000000,0,0.6,0.6,425,891,891,891,891,0.01,1.66,0.01,1.66,0.01,1.66,0.01,1.66,0.01,1.66,0.01,1.66,0,0,-0.01,-1.66,-0.01,-1.66,-0.01,-1.66,-0.01,-1.66,-0.01,-1.66,-0.01,-1.66,0.6,0.6,0.6,0.61,0.6,0.61
TLRY,20250717 04:05:23.000000,0,0.6,0.6,135,1026,1026,1026,1026,0.01,1.66,0.01,1.66,0.01,1.66,0.01,1.66,0.01,1.66,0.01,1.66,0,0,-0.01,-1.66,-0.01,-1.66,-0.01,-1.66,-0.01,-1.66,-0.01,-1.66,-0.01,-1.66,0.6,0.6,0.61,0.61,0.6,0.61
TLRY,20250717 04:10:05.000000,0,0.6,0.6,1756,2727,2782,2782,2782,0.01,1.66,0.01,1.66,0.01,1.66,0.01,1.66,0.01,1.66,0.01,1.66,0,0,-0.01,-1.66,-0.01,-1.66,-0.01,-1.66,-0.01,-1.66,-0.01,-1.66,-0.01,-1.66,0.6,0.6,0.6,0.61,0.6,0.61
TLRY,20250717 04:13:18.000000,0,0.6,0.6,9,9,2736,2791,2791,0,0,0,0,0.01,1.66,0.01,1.66,0.01,1.66,0.01,1.66,0,0,0,0,-0.01,-1.66,-0.01,-1.66,-0.01,-1.66,-0.01,-1.66,-0.01,-1.66,0.6,0.6,0.6,0.6,0.6,0.6
TLRY,20250717 04:22:20.000000,0,0.6,0.6,698,707,2598,3489,3489,0,0,0,0,0.01,1.66,0.01,1.66,0.01,1.66,0.01,1.66,0,0,0,0,0,0,-0.01,-1.66,-0.01,-1.66,-0.01,-1.66,-0.01,-1.66,0.6,0.6,0.6,0.6,0.6,0.6
TLRY,20250717 04:26:47.000000,0,0.6,0.6,4,4,702,711,3493,0,0,0,0,0,0,0.01,1.66,0.01,1.66,0.01,1.66,0,0,0,0,0,0,0,0,-0.01,-1.66,-0.01,-1.66,-0.01,-1.66,0.6,0.6,0.6,0.6,0.6,0.6
TLRY,20250717 04:27:27.000000,0,0.6,0.6,457,461,461,1159,3950,0,0,0,0,0,0,0.01,1.66,0.01,1.66,0.01,1.66,0,0,0,0,0,0,0,0,-0.01,-1.66,-0.01,-1.66,-0.01,-1.66,0.6,0.6,0.6,0.6,0.6,0.6
TLRY,20250717 04:30:58.000000,0,0.6,0.6,142,599,603,1301,4092,0,0,0,0,0,0,0.01,1.66,0.01,1.66,0.01,1.66,0,0,0,0,0,0,0,0,-0.01,-1.66,-0.01,-1.66,-0.01,-1.66,0.6,0.6,0.6,0.6,0.6,0.6
TLRY,20250717 04:33:40.000000,0,0.6,0.6,300,899,903,903,4337,0,0,0,0,0,0,0.01,1.66,0.01,1.66,0.01,1.66,0,0,0,0,0,0,0,0,-0.01,-1.66,-0.01,-1.66,-0.01,-1.66,0.6,0.6,0.6,0.6,0.6,0.6
TLRY,20250717 04:35:24.000000,0,0.6,0.6,11,311,910,914,3512,0,0,0,0,0,0,0.01,1.66,0.01,1.66,0.01,1.66,0,0,0,0,0,0,0,0,0,0,-0.01,-1.66,-0.01,-1.66,0.6,0.6,0.6,0.6,0.6,0.6
TLRY,20250717 04:38:52.000000,0,0.59,0.6,1073,1084,1983,1987,2694,0.01,1.69,0.01,1.69,0.01,1.69,0.01,1.69,0.02,3.38,0.02,3.38,0,0,-0.01,-1.69,-0.01,-1.69,-0.01,-1.69,-0.01,-1.69,-0.02,-3.38,-0.02,-3.38,0.59,0.59,0.6,0.6,0.59,0.6
TLRY,20250717 04:49:44.000000,0,0.59,0.6,1,1074,1385,1984,2695,0,0,0.01,1.66,0.01,1.66,0.01,1.66,0.02,3.33,0.02,3.33,0,0,0.01,1.66,0,0,0,0,0,0,-0.01,-1.66,-0.01,-1.66,0.6,0.6,0.6,0.6,0.59,0.6
TLRY,20250717 04:50:16.000000,0,0.59,0.6,3702,3702,3702,4776,5690,0,0,0,0,0.01,1.66,0.01,1.66,0.02,3.33,0.02,3.33,0,0,0,0,0,0,0.01,1.66,0,0,-0.01,-1.66,-0.01,-1.66,0.6,0.6,0.6,0.6,0.6,0.6
TLRY,20250717 04:51:13.000000,0,0.59,0.6,13,3715,3715,3716,5703,0,0,0,0,0,0,0.01,1.66,0.02,3.33,0.02,3.33,0,0,0,0,0,0,0,0,0,0,-0.01,-1.66,-0.01,-1.66,0.6,0.6,0.6,0.6,0.6,0.6
TLRY,20250717 04:56:53.000000,0,0.59,0.6,10,3725,3725,3726,5713,0,0,0,0,0,0,0.01,1.66,0.02,3.33,0.02,3.33,0,0,0,0,0,0,0,0,0,0,-0.01,-1.66,-0.01,-1.66,0.6,0.6,0.6,0.6,0.6,0.6
TLRY,20250717 04:58:22.000000,0,0.59,0.6,7,7,3732,3732,5259,0,0,0,0,0,0,0.01,1.66,0.02,3.33,0.02,3.33,0,0,0,0,0,0,0,0,0,0,-0.01,-1.66,-0.01,-1.66,0.6,0.6,0.6,0.6,0.6,0.6
TLRY,20250717 05:02:30.000000,0,0.59,0.6,129,136,3861,3861,5246,0,0,0,0,0,0,0.01,1.66,0.02,3.33,0.02,3.33,0,0,0,0,0,0,0,0,0,0,-0.01,-1.66,-0.01,-1.66,0.6,0.6,0.6,0.6,0.6,0.6
TLRY,20250717 05:03:43.000000,0,0.59,0.6,401,530,537,4262,5347,0,0,0,0,0,0,0.01,1.66,0.02,3.33,0.02,3.33,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,-1.66,0.6,0.6,0.6,0.6,0.6,0.6
TLRY,20250717 05:04:47.000000,0,0.59,0.6,55,456,592,4317,5391,0,0,0,0,0,0,0.01,1.66,0.02,3.33,0.02,3.33,0,0,0,0,0,0,0,0,0.01,1.66,0,0,-0.01,-1.66,0.6,0.6,0.6,0.6,0.6,0.6
TLRY,20250717 05:06:31.000000,0,0.59,0.6,803,1259,1395,1418,6194,0,0,0,0,0,0,0.01,1.66,0.01,1.66,0.02,3.33,0,0,0,0,0,0,0,0,0.01,1.66,0,0,-0.01,-1.66,0.6,0.6,0.6,0.6,0.6,0.6
TLRY,20250717 05:09:10.000000,0,0.59,0.6,5,1264,1393,1400,5126,0,0,0,0,0,0,0,0,0.01,1.66,0.02,3.33,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,-1.66,0.6,0.6,0.6,0.6,0.6,0.6
TLRY,20250717 05:13:05.000000,0,0.59,0.6,124,129,1388,1524,5249,0,0,0,0,0,0,0,0,0.01,1.66,0.02,3.33,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,-1.66,0.6,0.6,0.6,0.6,0.6,0.6
TLRY,20250717 05:25:51.000000,0,0.59,0.6,874,998,1806,2262,6123,0,0,0,0,0,0,0,0,0.01,1.66,0.02,3.33,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,-1.66,0.6,0.6,0.6,0.6,0.6,0.6
TLRY,20250717 05:26:38.000000,0,0.59,0.6,969,969,969,1843,3367,0,0,0,0,0,0,0,0,0.01,1.66,0.02,3.33,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,-1.66,0.6,0.6,0.6,0.6,0.6,0.6
TLRY,20250717 05:27:40.000000,0,0.59,0.6,133,1102,1102,1976,3493,0,0,0,0,0,0,0,0,0.01,1.66,0.02,3.33,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,-1.66,0.6,0.6,0.6,0.6,0.6,0.6
TLRY,20250717 05:33:02.000000,0,0.59,0.6,311,1413,1413,2287,3804,0,0,0,0,0,0,0,0,0.01,1.66,0.02,3.33,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,-1.66,0.6,0.6,0.6,0.6,0.6,0.6
