SymbolId,TradeTime,Index,Size,TotalVolume,Price,ReportingExchange,TradeCondition
TLRY,20250717 04:00:00.026000,362,15,15,0.6,PACF,12545
TLRY,20250717 04:00:25.520000,9551,39,54,0.6,PACF,12545
TLRY,20250717 04:00:52.604000,16300,1,55,0.61,PACF,12545
TLRY,20250717 04:01:35.205000,28646,100,155,0.61,PACF,12545
TLRY,20250717 04:02:39.449000,46854,1,156,0.61,PACF,12545
TLRY,20250717 04:02:39.449000,46855,27,183,0.61,PACF,12545
TLRY,20250717 04:02:57.837000,51100,1,184,0.61,PACF,12545
TLRY,20250717 04:02:57.837000,51101,173,357,0.61,PACF,12545
TLRY,20250717 04:02:57.837000,51102,50,407,0.61,PACF,12545
TLRY,20250717 04:02:57.837000,51103,1,408,0.61,PACF,12545
TLRY,20250717 04:02:57.837000,51104,50,458,0.6,PACF,12545
TLRY,20250717 04:02:57.839000,51105,5,463,0.6,PACF,12545
TLRY,20250717 04:02:57.839000,51106,1,464,0.6,PACF,12545
TLRY,20250717 04:02:57.839000,51107,1,465,0.6,PACF,12545
TLRY,20250717 04:02:57.839000,51108,1,466,0.6,PACF,12545
TLRY,20250717 04:03:29.200000,59847,425,891,0.6,PACF,12545
TLRY,20250717 04:04:31.193000,75990,50,941,0.61,PACF,12545
TLRY,20250717 04:04:56.306000,82123,2,943,0.61,EDGX,12545
TLRY,20250717 04:04:56.306000,82124,83,1026,0.6,PACF,12545
TLRY,20250717 04:05:22.787000,86884,617,1643,0.6,PACF,12545
TLRY,20250717 04:05:52.652000,92620,1139,2782,0.6,PACF,12545
TLRY,20250717 04:10:04.769000,136889,9,2791,0.6,PACF,12545
TLRY,20250717 04:13:17.506000,168610,300,3091,0.6,PACF,12545
TLRY,20250717 04:13:17.506000,168611,91,3182,0.6,PACF,12545
TLRY,20250717 04:13:17.506000,168613,240,3429,0.6,NQEX,12545
TLRY,20250717 04:13:17.506000,168612,7,3189,0.6,PACF,12545
TLRY,20250717 04:13:28.305000,170437,60,3489,0.6,EDGX,12545
TLRY,20250717 04:22:19.575000,259518,1,3490,0.6,EDGX,12545
