SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
TSLA,20250717 04:01:01.000000,0,322.7,322.7,10301,10301,10301,10301,10301,1.64,0.51,1.64,0.51,1.64,0.51,1.64,0.51,1.64,0.51,1.64,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321.35,321.35,323,323,321.35,323
TSLA,20250717 04:02:01.000000,0,322.76,322.72,8557,18858,18858,18858,18858,1.76,0.54,1.76,0.54,1.76,0.54,1.76,0.54,1.76,0.54,1.76,0.54,0.31,0.09,0.31,0.09,0.31,0.09,0.31,0.09,0.31,0.09,0.31,0.09,0.31,0.09,322.56,321.35,323.12,323.12,321.35,323.12
TSLA,20250717 04:03:01.000000,0,322.72,322.71,12248,31106,31106,31106,31106,0.56,0.17,1.76,0.54,1.76,0.54,1.76,0.54,1.76,0.54,1.76,0.54,-0.43,-0.13,-0.12,-0.03,-0.12,-0.03,-0.12,-0.03,-0.12,-0.03,-0.12,-0.03,-0.12,-0.03,322.55,322.55,323.08,323.12,321.35,323.12
TSLA,20250717 04:04:01.000000,0,322.71,322.71,7107,38213,38213,38213,38213,0.52,0.16,1.76,0.54,1.76,0.54,1.76,0.54,1.76,0.54,1.76,0.54,0.09,0.02,-0.02,0,-0.02,0,-0.02,0,-0.02,0,-0.02,0,-0.02,0,322.55,322.55,322.95,323.08,321.35,323.12
TSLA,20250717 04:05:01.000000,0,322.73,322.71,5364,43577,43577,43577,43577,0.39,0.12,1.76,0.54,1.76,0.54,1.76,0.54,1.76,0.54,1.76,0.54,0.12,0.04,0.1,0.03,0.1,0.03,0.1,0.03,0.1,0.03,0.1,0.03,0.1,0.03,322.58,322.55,322.88,322.95,321.35,323.12
TSLA,20250717 04:06:01.000000,0,322.69,322.7,3804,37080,47381,47381,47381,0.37,0.11,0.61,0.18,1.76,0.54,1.76,0.54,1.76,0.54,1.76,0.54,-0.24,-0.07,-0.44,-0.13,-0.13,-0.04,-0.13,-0.04,-0.13,-0.04,-0.13,-0.04,-0.13,-0.04,322.51,322.51,322.8,322.88,322.51,323.12
TSLA,20250717 04:07:01.000000,0,322.66,322.69,6527,35050,53908,53908,53908,0.48,0.14,0.75,0.23,1.76,0.54,1.76,0.54,1.76,0.54,1.76,0.54,0,0,-0.01,0,-0.13,-0.04,-0.13,-0.04,-0.13,-0.04,-0.13,-0.04,-0.13,-0.04,322.32,322.32,322.6,322.8,322.32,323.08
TSLA,20250717 04:08:01.000000,0,322.64,322.67,4357,27159,58265,58265,58265,0.37,0.11,0.62,0.19,1.76,0.54,1.76,0.54,1.76,0.54,1.76,0.54,0,0,-0.12,-0.03,-0.14,-0.04,-0.14,-0.04,-0.14,-0.04,-0.14,-0.04,-0.14,-0.04,322.35,322.32,322.7,322.7,322.32,322.95
TSLA,20250717 04:09:01.000000,0,322.63,322.66,3494,23546,61759,61759,61759,0.34,0.1,0.56,0.17,1.76,0.54,1.76,0.54,1.76,0.54,1.76,0.54,0.01,0,-0.23,-0.07,-0.12,-0.04,-0.12,-0.04,-0.12,-0.04,-0.12,-0.04,-0.12,-0.04,322.48,322.35,322.58,322.7,322.32,322.88
TSLA,20250717 04:10:01.000000,0,322.6,322.65,4237,22419,65996,65996,65996,0.18,0.05,0.48,0.14,1.76,0.54,1.76,0.54,1.76,0.54,1.76,0.54,-0.05,-0.01,-0.04,-0.01,-0.18,-0.05,-0.18,-0.05,-0.18,-0.05,-0.18,-0.05,-0.18,-0.05,322.43,322.43,322.62,322.62,322.32,322.8
TSLA,20250717 04:11:01.000000,0,322.6,322.64,2358,20973,58053,68354,68354,0.25,0.07,0.37,0.11,1.76,0.54,1.76,0.54,1.76,0.54,1.76,0.54,0.06,0.01,0.01,0,-0.43,-0.13,-0.12,-0.03,-0.12,-0.03,-0.12,-0.03,-0.12,-0.03,322.45,322.43,322.68,322.68,322.32,322.7
TSLA,20250717 04:12:01.000000,0,322.61,322.64,2306,16752,51802,70660,70660,0.25,0.07,0.34,0.1,1.76,0.54,1.76,0.54,1.76,0.54,1.76,0.54,0.06,0.01,0.08,0.02,0.06,0.01,-0.06,-0.01,-0.06,-0.01,-0.06,-0.01,-0.06,-0.01,322.58,322.45,322.7,322.7,322.35,322.7
TSLA,20250717 04:13:01.000000,0,322.61,322.64,1985,14380,41539,72645,72645,0.18,0.05,0.26,0.08,1.76,0.54,1.76,0.54,1.76,0.54,1.76,0.54,0,0,0.06,0.02,-0.03,0,-0.06,-0.01,-0.06,-0.01,-0.06,-0.01,-0.06,-0.01,322.52,322.52,322.66,322.7,322.43,322.7
TSLA,20250717 04:14:02.000000,0,322.59,322.63,2996,13882,37428,75641,75641,0.21,0.06,0.26,0.08,1.76,0.54,1.76,0.54,1.76,0.54,1.76,0.54,-0.12,-0.03,0,0,-0.28,-0.08,-0.18,-0.05,-0.18,-0.05,-0.18,-0.05,-0.18,-0.05,322.45,322.45,322.62,322.66,322.43,322.7
