SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
TSLA, 20250717 04:00:00.000000,1,1,322.57,323,321.35,322.39,3533,322.36
TSLA, 20250717 04:00:01.000000,18,1,322.52,322.64,322.06,322.06,601,322.47
TSLA, 20250717 04:00:02.000000,32,1,322.07,322.64,322.07,322.63,582,322.52
TSLA, 20250717 04:00:03.000000,46,1,322.57,322.7,322.57,322.7,32,322.66
TSLA, 20250717 04:00:04.000000,59,1,322.7,322.7,322.7,322.7,27,322.7
TSLA, 20250717 04:00:05.000000,81,1,322.3,322.3,322.27,322.27,157,322.27
TSLA, 20250717 04:00:07.000000,88,1,322.48,322.48,322.48,322.48,2,322.48
TSLA, 20250717 04:00:08.000000,118,1,322.43,322.49,322.43,322.49,159,322.44
TSLA, 20250717 04:00:13.000000,128,1,322.41,322.49,322.19,322.3,181,322.32
TSLA, 20250717 04:00:15.000000,136,1,322.5,322.58,322.49,322.5,113,322.51
TSLA, 20250717 04:00:16.000000,162,1,322.58,322.7,322.5,322.5,695,322.64
TSLA, 20250717 04:00:20.000000,176,1,322.49,322.51,322.43,322.43,300,322.49
TSLA, 20250717 04:00:21.000000,177,1,322.58,322.58,322.58,322.58,5,322.58
TSLA, 20250717 04:00:22.000000,191,1,322.52,322.52,322.33,322.37,369,322.39
TSLA, 20250717 04:00:23.000000,196,1,322.61,322.61,322.5,322.5,237,322.56
TSLA, 20250717 04:00:24.000000,216,1,322.61,322.61,322.41,322.41,11,322.43
TSLA, 20250717 04:00:27.000000,221,1,322.57,322.64,322.52,322.64,216,322.58
TSLA, 20250717 04:00:28.000000,238,1,322.63,322.63,322.43,322.43,33,322.55
TSLA, 20250717 04:00:30.000000,250,1,322.41,322.42,322.41,322.42,3,322.42
TSLA, 20250717 04:00:32.000000,259,1,322.62,322.62,322.6,322.6,191,322.61
TSLA, 20250717 04:00:33.000000,269,1,322.49,322.49,322.36,322.38,410,322.39
TSLA, 20250717 04:00:34.000000,274,1,322.43,322.55,322.38,322.47,354,322.5
TSLA, 20250717 04:00:35.000000,307,1,322.45,322.47,322.45,322.47,19,322.45
TSLA, 20250717 04:00:39.000000,316,1,322.44,322.44,322.44,322.44,1,322.44
TSLA, 20250717 04:00:40.000000,324,1,322.45,322.55,322.44,322.44,101,322.45
TSLA, 20250717 04:00:42.000000,333,1,322.44,322.5,322.43,322.5,21,322.44
TSLA, 20250717 04:00:43.000000,336,1,322.6,322.6,322.45,322.45,28,322.49
TSLA, 20250717 04:00:44.000000,356,1,322.45,322.58,322.42,322.5,158,322.47
TSLA, 20250717 04:00:45.000000,366,1,322.39,322.45,322.39,322.45,273,322.44
TSLA, 20250717 04:00:46.000000,374,1,322.47,322.55,322.45,322.55,89,322.51
TSLA, 20250717 04:00:47.000000,384,1,322.49,322.6,322.49,322.6,203,322.52
TSLA, 20250717 04:00:48.000000,395,1,322.5,322.5,322.5,322.5,8,322.5
TSLA, 20250717 04:00:50.000000,402,1,322.45,322.6,322.45,322.6,8,322.47
TSLA, 20250717 04:00:51.000000,420,1,322.58,322.7,322.52,322.52,800,322.64
TSLA, 20250717 04:00:53.000000,429,1,322.52,322.52,322.52,322.52,28,322.52
TSLA, 20250717 04:00:54.000000,438,1,322.64,322.69,322.64,322.69,100,322.64
TSLA, 20250717 04:00:56.000000,449,1,322.67,322.68,322.67,322.68,56,322.68
TSLA, 20250717 04:00:57.000000,458,1,322.61,322.61,322.61,322.61,25,322.61
TSLA, 20250717 04:00:58.000000,467,1,322.57,322.7,322.57,322.7,172,322.68
TSLA, 20250717 04:01:00.000000,482,1,322.69,322.69,322.61,322.61,35,322.68
TSLA, 20250717 04:01:01.000000,496,1,322.56,322.56,322.56,322.56,8,322.56
TSLA, 20250717 04:01:02.000000,512,1,322.6,322.86,322.56,322.7,600,322.77
TSLA, 20250717 04:01:03.000000,520,1,322.69,322.69,322.64,322.64,14,322.67
TSLA, 20250717 04:01:04.000000,532,1,322.64,322.64,322.64,322.64,10,322.64
TSLA, 20250717 04:01:05.000000,548,1,322.61,322.61,322.61,322.61,1,322.61
TSLA, 20250717 04:01:06.000000,555,1,322.75,322.75,322.75,322.75,12,322.75
