SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
WBD,20250717 04:04:37.000000,0,12.56,12.56,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.56,12.56,12.56,12.56,12.56,12.56
WBD,20250717 04:12:40.000000,0,12.56,12.56,1,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.56,12.56,12.56,12.56,12.56,12.56
WBD,20250717 04:18:03.000000,0,12.54,12.55,4,4,8,8,8,0.02,0.23,0.02,0.23,0.06,0.48,0.06,0.48,0.06,0.48,0.06,0.48,0,0,0,0,-0.06,-0.48,-0.06,-0.48,-0.06,-0.48,-0.06,-0.48,-0.06,-0.48,12.5,12.5,12.53,12.53,12.5,12.53
WBD,20250717 04:34:10.000000,0,12.54,12.55,13,13,17,18,21,0.04,0.31,0.04,0.31,0.06,0.47,0.06,0.47,0.06,0.47,0.06,0.47,0,0,0,0,0.01,0.15,-0.04,-0.31,-0.04,-0.31,-0.04,-0.31,-0.04,-0.31,12.52,12.52,12.56,12.56,12.52,12.56
WBD,20250717 04:42:05.000000,0,12.54,12.55,10,10,10,10,27,0,0,0,0,0,0,0.06,0.47,0.06,0.47,0.06,0.47,0,0,0,0,0,0,0,0,0.05,0.39,0,-0.07,0,-0.07,12.55,12.55,12.55,12.55,12.55,12.55
WBD,20250717 04:52:24.000000,0,12.53,12.54,1,1,11,11,24,0,0,0,0,0.04,0.31,0.05,0.39,0.06,0.47,0.06,0.47,0,0,0,0,-0.04,-0.31,-0.04,-0.31,0,-0.07,-0.05,-0.39,-0.05,-0.39,12.51,12.51,12.51,12.51,12.51,12.51
WBD,20250717 04:56:52.000000,0,12.53,12.54,7,7,7,8,18,0,0,0,0,0,0.07,0.04,0.31,0.06,0.47,0.06,0.47,0,0,0,0,0,0,0,0.07,-0.03,-0.23,-0.04,-0.31,-0.04,-0.31,12.52,12.52,12.52,12.52,12.52,12.52
WBD,20250717 04:57:06.000000,0,12.53,12.54,1,8,8,9,19,0,0,0.01,0.15,0.02,0.23,0.04,0.31,0.06,0.47,0.06,0.47,0,0,0.01,0.15,0.01,0.15,0.02,0.23,-0.01,-0.07,-0.02,-0.15,-0.02,-0.15,12.54,12.54,12.54,12.54,12.52,12.54
WBD,20250717 05:27:15.000000,0,12.52,12.54,5,6,13,13,24,0.02,0.23,0.02,0.23,0.02,0.23,0.04,0.31,0.06,0.47,0.06,0.47,-0.02,-0.23,-0.02,-0.23,0,-0.07,0,-0.07,-0.04,-0.31,-0.05,-0.39,-0.05,-0.39,12.51,12.51,12.51,12.54,12.51,12.54
WBD,20250717 05:30:09.000000,0,12.53,12.54,20,20,20,20,20,0,0,0,0,0,0,0,0,0.04,0.31,0.06,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07,12.55,12.55,12.55,12.55,12.55,12.55
WBD,20250717 05:31:46.000000,0,12.53,12.54,20,40,40,40,40,0,0,0,0,0,0,0,0,0.04,0.31,0.06,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07,12.55,12.55,12.55,12.55,12.55,12.55
WBD,20250717 05:36:40.000000,0,12.53,12.54,25,65,65,65,65,0,0,0,0,0,0,0,0,0.04,0.31,0.06,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07,12.55,12.55,12.55,12.55,12.55,12.55
WBD,20250717 05:40:54.000000,0,12.53,12.54,510,510,575,575,575,0.02,0.15,0.02,0.15,0.02,0.15,0.02,0.15,0.04,0.31,0.06,0.47,0,0,0,0,-0.02,-0.15,-0.02,-0.15,-0.02,-0.15,0.01,0.15,-0.03,-0.23,12.53,12.53,12.55,12.55,12.53,12.55
WBD,20250717 05:55:07.000000,0,12.53,12.54,21,531,556,596,596,0,0,0.02,0.15,0.02,0.15,0.02,0.15,0.04,0.31,0.06,0.47,0,0,0,0,-0.02,-0.15,-0.02,-0.15,-0.02,-0.15,0.01,0.15,-0.03,-0.23,12.53,12.53,12.53,12.53,12.53,12.55
WBD,20250717 06:07:20.000000,0,12.53,12.53,1,1,1,1,597,0,0,0,0,0,0,0.02,0.15,0.04,0.31,0.06,0.47,0,0,0,0,0,0,0,0,-0.02,-0.15,0,-0.07,-0.03,-0.23,12.53,12.53,12.53,12.53,12.53,12.53
WBD,20250717 06:08:44.000000,0,12.53,12.53,88,88,88,89,110,0,0,0,0,0,0.07,0,0.07,0.03,0.23,0.06,0.47,0,0,0,0,0,0,0,-0.07,0,-0.07,-0.03,-0.23,0.01,0.15,12.52,12.52,12.52,12.52,12.52,12.52
WBD,20250717 06:17:39.000000,0,12.53,12.53,3,91,91,92,113,0.04,0.31,0.04,0.31,0.04,0.31,0.04,0.31,0.04,0.31,0.06,0.47,0.04,0.31,0.04,0.31,0.04,0.31,0.03,0.23,0.03,0.23,0,0.07,0.06,0.47,12.56,12.52,12.56,12.56,12.52,12.56
WBD,20250717 06:20:09.000000,0,12.52,12.53,1064,1064,1067,1155,1156,0.02,0.24,0.02,0.24,0.07,0.56,0.07,0.56,0.07,0.56,0.07,0.56,0,0,0,0,-0.07,-0.56,-0.02,-0.24,-0.03,-0.32,-0.06,-0.48,-0.02,-0.24,12.49,12.49,12.52,12.52,12.49,12.52
WBD,20250717 06:21:56.000000,0,12.53,12.53,3,1067,1067,1158,1159,0,0,0.07,0.55,0.07,0.55,0.07,0.55,0.07,0.55,0.07,0.55,0,0,0.07,0.55,0.07,0.55,0.04,0.31,0.03,0.23,0,0.07,0,0.07,12.56,12.56,12.56,12.56,12.49,12.56
WBD,20250717 06:22:18.000000,0,12.52,12.53,1,1068,1068,1159,1160,0.08,0.72,0.08,0.72,0.08,0.72,0.08,0.72,0.08,0.72,0.08,0.72,-0.08,-0.72,-0.01,-0.16,-0.01,-0.16,-0.04,-0.4,-0.05,-0.48,-0.08,-0.64,-0.08,-0.64,12.47,12.47,12.47,12.56,12.47,12.56
WBD,20250717 06:26:31.000000,0,12.51,12.52,1,5,1069,1072,1161,0,0,0.08,0.72,0.08,0.72,0.08,0.72,0.08,0.72,0.08,0.72,0,0,-0.08,-0.72,-0.01,-0.16,-0.08,-0.72,-0.05,-0.48,-0.08,-0.64,-0.08,-0.64,12.47,12.47,12.47,12.47,12.47,12.56
WBD,20250717 06:31:27.000000,0,12.51,12.52,2,3,1071,1071,1162,0,0,0.05,0.47,0.08,0.71,0.08,0.71,0.08,0.71,0.08,0.71,0,0,0.05,0.47,0.03,0.31,0.03,0.31,0,0.07,-0.02,-0.15,-0.02,-0.15,12.53,12.53,12.53,12.53,12.47,12.53
WBD,20250717 06:43:50.000000,0,12.51,12.52,12,12,15,1083,1174,0,0,0,0,0.08,0.71,0.08,0.71,0.08,0.71,0.08,0.71,0,0,0,0,0.02,0.23,0,0.07,-0.01,-0.15,-0.02,-0.23,-0.05,-0.4,12.5,12.5,12.5,12.5,12.5,12.5
WBD,20250717 06:54:01.000000,0,12.5,12.51,2,2,2,14,1085,0,0,0,0,0.01,0.16,0.08,0.72,0.08,0.72,0.08,0.72,0,0,0,0,0,0,-0.01,-0.16,0,-0.08,-0.04,-0.4,-0.03,-0.32,12.48,12.48,12.48,12.48,12.48,12.48
WBD,20250717 06:55:19.000000,0,12.5,12.51,73,73,73,75,89,0,0,0,0,0,0,0.04,0.4,0.08,0.72,0.08,0.72,0,0,0,0,0,0,0,0,-0.04,-0.4,-0.04,-0.4,-0.05,-0.48,12.48,12.48,12.48,12.48,12.48,12.48
WBD,20250717 06:58:00.000000,0,12.49,12.51,5,78,78,80,94,0,0.08,0,0.08,0,0.08,0.04,0.4,0.08,0.72,0.08,0.72,0,0.08,0,0.08,0,0.08,0,0.08,-0.03,-0.32,-0.02,-0.24,-0.04,-0.4,12.49,12.48,12.49,12.49,12.48,12.49
WBD,20250717 06:59:00.000000,0,12.5,12.51,1276,1354,1354,1356,1368,0.02,0.15,0.07,0.55,0.07,0.55,0.07,0.55,0.08,0.71,0.08,0.71,0,0,0.07,0.55,0.07,0.55,0.07,0.55,0.05,0.39,0.03,0.23,0,0,12.53,12.53,12.55,12.55,12.48,12.55
WBD,20250717 06:59:27.000000,0,12.51,12.52,99,1453,1453,1453,1467,0.03,0.23,0.08,0.63,0.08,0.63,0.08,0.63,0.08,0.71,0.08,0.71,0,0.07,0.08,0.63,0.08,0.63,0.08,0.63,0.06,0.47,0.04,0.31,0,0.07,12.56,12.53,12.56,12.56,12.48,12.56
WBD,20250717 07:04:47.000000,0,12.52,12.52,689,2069,2142,2142,2156,0,0.07,0.08,0.63,0.08,0.71,0.08,0.71,0.09,0.79,0.09,0.79,0,0.07,0.08,0.63,0.08,0.71,0.08,0.71,0.07,0.55,0.05,0.39,0.01,0.15,12.56,12.56,12.57,12.57,12.49,12.57
WBD,20250717 07:07:16.000000,0,12.53,12.52,200,200,2269,2342,2344,0,0,0,0,0.08,0.71,0.08,0.71,0.09,0.79,0.09,0.79,0,0,0,0,0.06,0.47,0.07,0.55,0.07,0.55,0.03,0.23,0,0,12.55,12.55,12.55,12.55,12.55,12.55
