SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
WBD, 20250717 04:03:14.000000,2792,1,12.56,12.56,12.56,12.56,3,12.56
WBD, 20250717 04:04:36.000000,5431,1,12.56,12.56,12.56,12.56,1,12.56
WBD, 20250717 04:12:39.000000,6813,1,12.53,12.53,12.5,12.5,4,12.51
WBD, 20250717 04:18:02.000000,6915,1,12.56,12.56,12.56,12.56,2,12.56
WBD, 20250717 04:18:29.000000,6981,1,12.53,12.53,12.53,12.53,2,12.53
WBD, 20250717 04:18:47.000000,10186,1,12.52,12.52,12.52,12.52,9,12.52
WBD, 20250717 04:34:09.000000,11783,1,12.55,12.55,12.55,12.55,10,12.55
WBD, 20250717 04:42:04.000000,13769,1,12.51,12.51,12.51,12.51,1,12.51
WBD, 20250717 04:52:23.000000,14523,1,12.52,12.52,12.52,12.52,7,12.52
WBD, 20250717 04:56:51.000000,14563,1,12.54,12.54,12.54,12.54,1,12.54
WBD, 20250717 04:57:05.000000,19650,1,12.51,12.51,12.51,12.51,5,12.51
WBD, 20250717 05:27:14.000000,20177,1,12.55,12.55,12.55,12.55,20,12.55
WBD, 20250717 05:30:08.000000,20441,1,12.55,12.55,12.55,12.55,20,12.55
WBD, 20250717 05:31:45.000000,21199,1,12.55,12.55,12.55,12.55,25,12.55
WBD, 20250717 05:36:39.000000,21213,1,12.55,12.55,12.55,12.55,10,12.55
WBD, 20250717 05:36:45.000000,21834,1,12.53,12.53,12.53,12.53,500,12.53
WBD, 20250717 05:40:53.000000,24013,1,12.53,12.53,12.53,12.53,21,12.53
WBD, 20250717 05:55:06.000000,25682,1,12.53,12.53,12.53,12.53,1,12.53
WBD, 20250717 06:07:19.000000,25862,1,12.52,12.52,12.52,12.52,88,12.52
WBD, 20250717 06:08:43.000000,27000,1,12.56,12.56,12.56,12.56,3,12.56
WBD, 20250717 06:17:38.000000,27003,1,12.5,12.52,12.5,12.5,556,12.52
WBD, 20250717 06:17:39.000000,27316,1,12.49,12.49,12.49,12.49,508,12.49
WBD, 20250717 06:20:08.000000,27549,1,12.56,12.56,12.56,12.56,3,12.56
WBD, 20250717 06:21:55.000000,27593,1,12.47,12.47,12.47,12.47,1,12.47
WBD, 20250717 06:22:17.000000,28124,1,12.47,12.47,12.47,12.47,1,12.47
WBD, 20250717 06:26:30.000000,28809,1,12.53,12.53,12.53,12.53,2,12.53
WBD, 20250717 06:31:26.000000,30563,1,12.5,12.5,12.5,12.5,12,12.5
WBD, 20250717 06:43:49.000000,32157,1,12.48,12.48,12.48,12.48,2,12.48
WBD, 20250717 06:54:00.000000,32313,1,12.48,12.48,12.48,12.48,73,12.48
WBD, 20250717 06:55:18.000000,32782,1,12.49,12.49,12.49,12.49,5,12.49
WBD, 20250717 06:57:59.000000,32935,1,12.53,12.55,12.53,12.55,1276,12.55
WBD, 20250717 06:58:59.000000,33009,1,12.56,12.56,12.56,12.56,99,12.56
WBD, 20250717 06:59:26.000000,33092,1,12.57,12.57,12.56,12.56,688,12.56
WBD, 20250717 06:59:56.000000,34330,1,12.57,12.57,12.57,12.57,1,12.57
WBD, 20250717 07:04:46.000000,34839,1,12.55,12.55,12.55,12.55,200,12.55
WBD, 20250717 07:07:15.000000,34861,1,12.57,12.58,12.57,12.58,197,12.58
WBD, 20250717 07:07:19.000000,34867,1,12.57,12.57,12.57,12.57,1530,12.57
WBD, 20250717 07:07:21.000000,35291,1,12.57,12.57,12.57,12.57,126,12.57
WBD, 20250717 07:09:38.000000,35707,1,12.58,12.58,12.58,12.58,1,12.58
WBD, 20250717 07:11:54.000000,36394,1,12.58,12.58,12.58,12.58,101,12.58
WBD, 20250717 07:15:32.000000,36565,1,12.51,12.56,12.51,12.56,8,12.52
WBD, 20250717 07:16:27.000000,38941,1,12.54,12.54,12.54,12.54,1,12.54
WBD, 20250717 07:30:17.000000,39777,1,12.54,12.54,12.54,12.54,24,12.54
WBD, 20250717 07:35:01.000000,39808,1,12.52,12.53,12.51,12.51,1510,12.51
WBD, 20250717 07:35:11.000000,40016,1,12.51,12.51,12.51,12.51,980,12.51
